scenario,axis,parallel,flow_kib,per_source_mib,winner,winner_cct_geomean_us,equal_cct_geomean_us,effect_vs_equal_percent,seeds_beating_equal,supported_non_equal,winner_QueueDiag.composite_ecn_marks,equal_QueueDiag.composite_ecn_marks,QueueDiag.composite_ecn_marks_effect_percent,winner_QueueDiag.composite_trims,equal_QueueDiag.composite_trims,QueueDiag.composite_trims_effect_percent,winner_RoceDiag.nacks,equal_RoceDiag.nacks,RoceDiag.nacks_effect_percent,winner_StorProfileDiag.stor_level_changes,equal_StorProfileDiag.stor_level_changes,StorProfileDiag.stor_level_changes_effect_percent,winner_StorProfileDiag.stor_all_zero_profiles,equal_StorProfileDiag.stor_all_zero_profiles,StorProfileDiag.stor_all_zero_profiles_effect_percent,winner_StorProfileDiag.stor_all_zero_selections,equal_StorProfileDiag.stor_all_zero_selections,StorProfileDiag.stor_all_zero_selections_effect_percent,winner_QueueCvDiag.spine_queue_cv,equal_QueueCvDiag.spine_queue_cv,QueueCvDiag.spine_queue_cv_effect_percent
collective_p16_flow512kib,parallel,16,512,63.5,equal,1885.5414592916825,1885.5414592916825,0.0,0,0,2074787.3333333333,2074787.3333333333,0.0,289543.3333333333,289543.3333333333,0.0,435573.3333333333,435573.3333333333,0.0,85323.66666666667,85323.66666666667,0.0,2138.6666666666665,2138.6666666666665,0.0,141985.0,141985.0,0.0,0.4273096666666667,0.4273096666666667,0.0
collective_p1_flow512kib,parallel,1,512,63.5,gentle,3773.5101109169877,3808.812277612936,-0.9268549910806612,2,1,3877.0,3893.3333333333335,-0.4195205479452069,110418.33333333333,113373.66666666667,-2.60671937339948,111188.33333333333,114210.66666666667,-2.6462793901328663,70323.66666666667,72338.0,-2.7846129742781556,151.0,142.66666666666666,5.841121495327117,4780.666666666667,4486.666666666667,6.552748885586923,0.4535403333333334,0.3731416666666667,21.5464189204279
collective_p2_flow512kib,parallel,2,512,63.5,equal,2666.7400164756978,2666.7400164756978,0.0,0,0,97684.66666666667,97684.66666666667,0.0,217420.33333333334,217420.33333333334,0.0,222350.66666666666,222350.66666666666,0.0,127433.33333333333,127433.33333333333,0.0,475.3333333333333,475.3333333333333,0.0,18265.333333333332,18265.333333333332,0.0,0.583941,0.583941,0.0
collective_p32_flow512kib,parallel,32,512,63.5,equal,1930.7512593104627,1930.7512593104627,0.0,0,0,2288469.0,2288469.0,0.0,322897.6666666667,322897.6666666667,0.0,796013.6666666666,796013.6666666666,0.0,69419.0,69419.0,0.0,982.3333333333334,982.3333333333334,0.0,61245.333333333336,61245.333333333336,0.0,0.4890926666666667,0.4890926666666667,0.0
collective_p4_flow128kib,flow_size,4,128,15.875,default,482.1162630085018,490.69186150406307,-1.7476545197377957,3,1,200.0,233.33333333333334,-14.28571428571429,81.0,166.66666666666666,-51.4,81.0,167.66666666666666,-51.68986083499006,123.66666666666667,194.33333333333334,-36.36363636363637,0.0,0.0,0,0.0,0.0,0,0.6036216666666667,0.6122563333333333,-1.410302547571285
collective_p4_flow2048kib,flow_size,4,2048,254.0,equal,10664.051538058573,10664.051538058573,0.0,0,0,716140.0,716140.0,0.0,608271.0,608271.0,0.0,648024.3333333334,648024.3333333334,0.0,459412.0,459412.0,0.0,1096.3333333333333,1096.3333333333333,0.0,33210.666666666664,33210.666666666664,0.0,0.2988733333333333,0.2988733333333333,0.0
collective_p4_flow512kib,parallel,4,512,63.5,equal,2158.493336990846,2158.493336990846,0.0,0,0,1478020.0,1478020.0,0.0,226884.66666666666,226884.66666666666,0.0,249027.33333333334,249027.33333333334,0.0,108413.33333333333,108413.33333333333,0.0,1833.3333333333333,1833.3333333333333,0.0,105178.33333333333,105178.33333333333,0.0,0.38418766666666665,0.38418766666666665,0.0
collective_p4_flow8192kib,flow_size,4,8192,1016.0,default,38007.63038403504,38283.76932970039,-0.7212950827470643,1,0,1130025.0,733505.6666666666,54.05811452490483,1259720.6666666667,1289924.6666666667,-2.3415320894708547,1335870.3333333333,1374695.0,-2.824238588680894,1099684.3333333333,1054079.3333333333,4.326524442499258,408.6666666666667,327.0,24.97451580020389,10579.666666666666,9422.666666666666,12.278901938587804,0.20560666666666663,0.12297166666666666,67.198406136915
collective_p8_flow512kib,parallel,8,512,63.5,equal,1993.930249580408,1993.930249580408,0.0,0,0,1934358.3333333333,1934358.3333333333,0.0,278073.6666666667,278073.6666666667,0.0,335331.3333333333,335331.3333333333,0.0,99309.66666666667,99309.66666666667,0.0,2523.3333333333335,2523.3333333333335,0.0,159828.0,159828.0,0.0,0.397592,0.397592,0.0
