plot_key,scenario,cohort,size_mib,parallel,scheme,baseline,absolute_cct_us,absolute_cct_ms,normalized_cct,seed_values_us
asymmetric:256:8:sglb,asymmetric_alltoall_background_256mib_p8,asymmetric,256,8,sglb,mrc,9022.46259877,9.02246259877,0.972193065851,13:9234.44;29:9241.44;47:8606.47
asymmetric:64:16:mrc,asymmetric_alltoall_background_64mib_p16,asymmetric,64,16,mrc,mrc,2004.49435218,2.00449435218,1,13:2042.32;29:2012.38;47:1959.66
asymmetric:64:16:n-mrc,asymmetric_alltoall_background_64mib_p16,asymmetric,64,16,n-mrc,mrc,1989.23905729,1.98923905729,0.992389454789,13:2036.19;29:1944.67;47:1987.91
asymmetric:64:16:ops,asymmetric_alltoall_background_64mib_p16,asymmetric,64,16,ops,mrc,2157.19909691,2.15719909691,1.07618117984,13:2350.69;29:2052.29;47:2080.83
asymmetric:64:16:reps,asymmetric_alltoall_background_64mib_p16,asymmetric,64,16,reps,mrc,1993.41413982,1.99341413982,0.994472315496,13:2075.64;29:1967.43;47:1939.73
asymmetric:64:16:sglb,asymmetric_alltoall_background_64mib_p16,asymmetric,64,16,sglb,mrc,1953.11922702,1.95311922702,0.974370032469,13:1958.37;29:1982.35;47:1919.16
asymmetric:64:4:mrc,asymmetric_alltoall_background_64mib_p4,asymmetric,64,4,mrc,mrc,3037.56099273,3.03756099273,1,13:3221.07;29:3056.1;47:2847.13
asymmetric:64:4:n-mrc,asymmetric_alltoall_background_64mib_p4,asymmetric,64,4,n-mrc,mrc,2564.80080598,2.56480080598,0.844361911455,13:2600.03;29:2652.65;47:2446.26
asymmetric:64:4:ops,asymmetric_alltoall_background_64mib_p4,asymmetric,64,4,ops,mrc,2611.46961618,2.61146961618,0.859725820299,13:2839.38;29:2537.17;47:2472.19
asymmetric:64:4:reps,asymmetric_alltoall_background_64mib_p4,asymmetric,64,4,reps,mrc,2377.65650302,2.37765650302,0.782751855423,13:2274.69;29:2177.63;47:2713.57
asymmetric:64:4:sglb,asymmetric_alltoall_background_64mib_p4,asymmetric,64,4,sglb,mrc,2455.45420862,2.45545420862,0.808363754505,13:2188.93;29:2921.23;47:2315.25
asymmetric:64:8:mrc,asymmetric_alltoall_background_64mib_p8,asymmetric,64,8,mrc,mrc,2027.67761086,2.02767761086,1,13:2135.09;29:1936.66;47:2016.17
asymmetric:64:8:n-mrc,asymmetric_alltoall_background_64mib_p8,asymmetric,64,8,n-mrc,mrc,2119.30418564,2.11930418564,1.04518794028,13:2204.43;29:2128.86;47:2028.32
asymmetric:64:8:ops,asymmetric_alltoall_background_64mib_p8,asymmetric,64,8,ops,mrc,2339.5588755,2.3395588755,1.15381205719,13:2570.64;29:2220.16;47:2243.76
asymmetric:64:8:reps,asymmetric_alltoall_background_64mib_p8,asymmetric,64,8,reps,mrc,2095.14664257,2.09514664257,1.03327404285,13:2184.97;29:2049.97;47:2053.29
asymmetric:64:8:sglb,asymmetric_alltoall_background_64mib_p8,asymmetric,64,8,sglb,mrc,2000.00805078,2.00000805078,0.986354063423,13:1947.11;29:2035.17;47:2018.85
healthy:1024:16:mrc,healthy_alltoall_1024mib_p16,healthy,1024,16,mrc,mrc,24189.9971064,24.1899971064,1,13:24030.3;29:24668;47:23878.9
healthy:1024:16:n-mrc,healthy_alltoall_1024mib_p16,healthy,1024,16,n-mrc,mrc,28074.0944224,28.0740944224,1.16056625798,13:28050.6;29:28093.3;47:28078.4
healthy:1024:16:ops,healthy_alltoall_1024mib_p16,healthy,1024,16,ops,mrc,24120.0254251,24.1200254251,0.997107412583,13:23984.2;29:24222.1;47:24154.4
healthy:1024:16:reps,healthy_alltoall_1024mib_p16,healthy,1024,16,reps,mrc,23445.3226974,23.4453226974,0.969215605703,13:23483.6;29:23381.6;47:23470.9
healthy:1024:16:sglb,healthy_alltoall_1024mib_p16,healthy,1024,16,sglb,mrc,25007.9629285,25.0079629285,1.03381421744,13:25085.3;29:24997.8;47:24941
healthy:1024:4:mrc,healthy_alltoall_1024mib_p4,healthy,1024,4,mrc,mrc,33583.3714673,33.5833714673,1,13:33680.1;29:34871;47:32250.4
healthy:1024:4:n-mrc,healthy_alltoall_1024mib_p4,healthy,1024,4,n-mrc,mrc,37483.5100131,37.4835100131,1.11613302582,13:37646;29:38771.6;47:36081.8
healthy:1024:4:ops,healthy_alltoall_1024mib_p4,healthy,1024,4,ops,mrc,37922.0313628,37.9220313628,1.12919071868,13:40010.2;29:36490.2;47:37353.2
healthy:1024:4:reps,healthy_alltoall_1024mib_p4,healthy,1024,4,reps,mrc,37872.5888061,37.8725888061,1.12771848541,13:38361.8;29:40756.2;47:34744.2
healthy:1024:4:sglb,healthy_alltoall_1024mib_p4,healthy,1024,4,sglb,mrc,40964.4131196,40.9644131196,1.21978262842,13:46142;29:37987.1;47:39218.2
healthy:1024:8:mrc,healthy_alltoall_1024mib_p8,healthy,1024,8,mrc,mrc,28099.1377516,28.0991377516,1,13:27970.9;29:27181.9;47:29180.5
healthy:1024:8:n-mrc,healthy_alltoall_1024mib_p8,healthy,1024,8,n-mrc,mrc,30160.3707032,30.1603707032,1.07335573674,13:30421.3;29:30045.2;47:30016.3
healthy:1024:8:ops,healthy_alltoall_1024mib_p8,healthy,1024,8,ops,mrc,29016.6129447,29.0166129447,1.03265136465,13:29601.5;29:28524.1;47:28934.4
healthy:1024:8:reps,healthy_alltoall_1024mib_p8,healthy,1024,8,reps,mrc,28940.264642,28.940264642,1.02993425983,13:28720.5;29:29952.5;47:28176.2
