scenario,parallel,panel,scheme,seed,time_us,spine_id,value_raw,value_display,window_end_us,unit
asymmetric_alltoall_background_256mib_p8,8,mean_queue_fraction,ops,13,190,,0.162874585529,0.162874585529,11334,fraction
asymmetric_alltoall_background_256mib_p8,8,utilization_cv,ops,13,200,,0.0310371403472,0.0310371403472,11334,cv
asymmetric_alltoall_background_256mib_p8,8,mean_queue_fraction,ops,13,200,,0.146069264966,0.146069264966,11334,fraction
asymmetric_alltoall_background_256mib_p8,8,utilization_cv,ops,13,210,,0.0302953891859,0.0309671727342,11334,cv
asymmetric_alltoall_background_256mib_p8,8,mean_queue_fraction,ops,13,210,,0.13558711562,0.13558711562,11334,fraction
asymmetric_alltoall_background_256mib_p8,8,utilization_cv,ops,13,220,,0.0309671727342,0.0309671727342,11334,cv
asymmetric_alltoall_background_256mib_p8,8,mean_queue_fraction,ops,13,220,,0.130633473951,0.13558711562,11334,fraction
asymmetric_alltoall_background_256mib_p8,8,utilization_cv,ops,13,230,,0.0282278002557,0.0302953891859,11334,cv
asymmetric_alltoall_background_256mib_p8,8,mean_queue_fraction,ops,13,230,,0.131069591434,0.13558711562,11334,fraction
asymmetric_alltoall_background_256mib_p8,8,utilization_cv,ops,13,240,,0.0323049852284,0.0309671727342,11334,cv
asymmetric_alltoall_background_256mib_p8,8,mean_queue_fraction,ops,13,240,,0.144859704306,0.144859704306,11334,fraction
asymmetric_alltoall_background_256mib_p8,8,utilization_cv,ops,13,250,,0.0297562277053,0.0297562277053,11334,cv
asymmetric_alltoall_background_256mib_p8,8,mean_queue_fraction,ops,13,250,,0.153669064544,0.153669064544,11334,fraction
asymmetric_alltoall_background_256mib_p8,8,utilization_cv,ops,13,260,,0.0319253000489,0.0297562277053,11334,cv
asymmetric_alltoall_background_256mib_p8,8,mean_queue_fraction,ops,13,260,,0.165965407428,0.165965407428,11334,fraction
asymmetric_alltoall_background_256mib_p8,8,utilization_cv,ops,13,270,,0.0281857967848,0.0281857967848,11334,cv
