scenario,scheme,time_us,bytes_delta_raw,utilization_cv_raw,mean_queue_fraction_raw,utilization_cv_rolling_median,mean_queue_fraction_rolling_median,in_valid_business_range
asymmetric_p2p_tornado_16mib,mrc,88,23867968,0.00732008717632,0.0247611112373,0.00737116646441,0.0244999375454,1
asymmetric_p2p_tornado_16mib,mrc,90,23836096,0.00763316130044,0.024032947629,0.00743514193652,0.0244999375454,1
asymmetric_p2p_tornado_16mib,mrc,92,23755200,0.00743514193652,0.0248079521711,0.00743514193652,0.024401997411,1
asymmetric_p2p_tornado_16mib,mrc,94,24202752,0.00752135272752,0.0237866778706,0.00743514193652,0.024401997411,1
asymmetric_p2p_tornado_16mib,mrc,96,23799552,0.00715605192352,0.024401997411,0.00743514193652,0.024401997411,1
asymmetric_p2p_tornado_16mib,mrc,98,23671680,0.00740306866112,0.0244985181232,0.00752135272752,0.0237866778706,1
asymmetric_p2p_tornado_16mib,mrc,100,23936192,0.0079958541987,0.0234225960665,0.00741537896412,0.0242146336755,1
asymmetric_p2p_tornado_16mib,mrc,102,24119360,0.00784858637835,0.0227249500363,0.00784858637835,0.0234225960665,1
asymmetric_p2p_tornado_16mib,mrc,104,23630784,0.00741537896412,0.0242146336755,0.00784858637835,0.0230024470839,1
asymmetric_p2p_tornado_16mib,mrc,106,23911808,0.00807571777009,0.0230024470839,0.00784858637835,0.0229172817496,1
asymmetric_p2p_tornado_16mib,mrc,108,23871936,0.00765012444091,0.0229172817496,0.00765012444091,0.0229172817496,1
asymmetric_p2p_tornado_16mib,mrc,110,23875904,0.00799427936791,0.0225886855015,0.00789822340512,0.0229172817496,1
asymmetric_p2p_tornado_16mib,mrc,112,23867584,0.00757582119081,0.0228640534157,0.00789822340512,0.0229172817496,1
asymmetric_p2p_tornado_16mib,mrc,114,23700992,0.00789822340512,0.0238867471384,0.00799427936791,0.0229598644168,1
asymmetric_p2p_tornado_16mib,mrc,116,23829248,0.00841150983953,0.0229598644168,0.00789822340512,0.0231032260629,1
asymmetric_p2p_tornado_16mib,mrc,118,23959872,0.00808788948051,0.0232387808866,0.00808788948051,0.0232387808866,1
asymmetric_p2p_tornado_16mib,mrc,120,23779712,0.00752000080033,0.0231032260629,0.0083430004446,0.0232387808866,1
asymmetric_p2p_tornado_16mib,mrc,122,23577408,0.0083430004446,0.0237519020258,0.00826810860211,0.0232387808866,1
asymmetric_p2p_tornado_16mib,mrc,124,23901632,0.00874804560222,0.0238299702489,0.00826810860211,0.0233324627544,1
