plot_key,scenario,cohort,workload,parameter,scheme,baseline,absolute_p99_fct_us,speedup,seed_values_us
asymmetric:permutation:16:mrc,asymmetric_p2p_permutation_16mib,asymmetric,permutation,16,mrc,mrc,517.637334022,1,13:512.4702;29:523.69047;47:516.81307
asymmetric:permutation:16:n-mrc,asymmetric_p2p_permutation_16mib,asymmetric,permutation,16,n-mrc,mrc,401.853891894,1.28812323201,13:441.08277;29:383.48285;47:383.65291
asymmetric:permutation:16:ops,asymmetric_p2p_permutation_16mib,asymmetric,permutation,16,ops,mrc,907.193547453,0.570591948626,13:920.97192;29:777.4618;47:1042.7361
asymmetric:permutation:16:reps,asymmetric_p2p_permutation_16mib,asymmetric,permutation,16,reps,mrc,469.118638334,1.10342521427,13:455.07594;29:479.30756;47:473.31461
asymmetric:permutation:16:sglb,asymmetric_p2p_permutation_16mib,asymmetric,permutation,16,sglb,mrc,410.645928845,1.26054417604,13:407.94988;29:412.84206;47:411.16091
asymmetric:permutation:4:mrc,asymmetric_p2p_permutation_4mib,asymmetric,permutation,4,mrc,mrc,125.891613117,1,13:124.51118;29:126.76318;47:126.41218
asymmetric:permutation:4:n-mrc,asymmetric_p2p_permutation_4mib,asymmetric,permutation,4,n-mrc,mrc,103.862873343,1.21209445747,13:104.18018;29:103.35318;47:104.05718
asymmetric:permutation:4:ops,asymmetric_p2p_permutation_4mib,asymmetric,permutation,4,ops,mrc,234.044548066,0.537895943986,13:242.78505;29:202.448;47:260.83157
asymmetric:permutation:4:reps,asymmetric_p2p_permutation_4mib,asymmetric,permutation,4,reps,mrc,127.545235736,0.987035010678,13:126.19811;29:128.47682;47:127.97204
asymmetric:permutation:4:sglb,asymmetric_p2p_permutation_4mib,asymmetric,permutation,4,sglb,mrc,109.71029649,1.14749132164,13:109.41918;29:110.05791;47:109.65475
asymmetric:permutation:8:mrc,asymmetric_p2p_permutation_8mib,asymmetric,permutation,8,mrc,mrc,250.652926687,1,13:249.62618;29:251.93318;47:250.40491
asymmetric:permutation:8:n-mrc,asymmetric_p2p_permutation_8mib,asymmetric,permutation,8,n-mrc,mrc,195.689445018,1.28087095686,13:195.74429;29:195.58118;47:195.74291
asymmetric:permutation:8:ops,asymmetric_p2p_permutation_8mib,asymmetric,permutation,8,ops,mrc,458.641983533,0.546511082035,13:487.23941;29:389.78286;47:507.9913
asymmetric:permutation:8:reps,asymmetric_p2p_permutation_8mib,asymmetric,permutation,8,reps,mrc,243.005132041,1.03147174128,13:237.50141;29:247.97496;47:243.65331
asymmetric:permutation:8:sglb,asymmetric_p2p_permutation_8mib,asymmetric,permutation,8,sglb,mrc,207.528426328,1.2078004499,13:206.76441;29:208.08518;47:207.73795
asymmetric:tornado:16:mrc,asymmetric_p2p_tornado_16mib,asymmetric,tornado,16,mrc,mrc,519.600228063,1,13:520.26037;29:524.82218;47:513.77749
asymmetric:tornado:16:n-mrc,asymmetric_p2p_tornado_16mib,asymmetric,tornado,16,n-mrc,mrc,382.855477085,1.3571706797,13:382.51611;29:382.67372;47:383.37715
asymmetric:tornado:16:ops,asymmetric_p2p_tornado_16mib,asymmetric,tornado,16,ops,mrc,936.027688848,0.555112027405,13:957.6228;29:805.70439;47:1062.9085
asymmetric:tornado:16:reps,asymmetric_p2p_tornado_16mib,asymmetric,tornado,16,reps,mrc,452.665657585,1.14786756927,13:445.98899;29:452.06884;47:460.04883
asymmetric:tornado:16:sglb,asymmetric_p2p_tornado_16mib,asymmetric,tornado,16,sglb,mrc,391.106537835,1.32853884504,13:391.37882;29:389.59807;47:392.3477
asymmetric:tornado:4:mrc,asymmetric_p2p_tornado_4mib,asymmetric,tornado,4,mrc,mrc,125.387525918,1,13:125.64591;29:125.20418;47:125.31291
asymmetric:tornado:4:n-mrc,asymmetric_p2p_tornado_4mib,asymmetric,tornado,4,n-mrc,mrc,103.217467635,1.21478979082,13:103.34818;29:103.03956;47:103.26491
asymmetric:tornado:4:ops,asymmetric_p2p_tornado_4mib,asymmetric,tornado,4,ops,mrc,243.506653599,0.514924434566,13:240.93775;29:228.8228;47:261.89569
asymmetric:tornado:4:reps,asymmetric_p2p_tornado_4mib,asymmetric,tornado,4,reps,mrc,123.67775292,1.01382441835,13:122.44145;29:125.78528;47:122.8334
asymmetric:tornado:4:sglb,asymmetric_p2p_tornado_4mib,asymmetric,tornado,4,sglb,mrc,107.601421562,1.1652961838,13:108.56727;29:107.24485;47:106.99874
asymmetric:tornado:8:mrc,asymmetric_p2p_tornado_8mib,asymmetric,tornado,8,mrc,mrc,248.683812,1,13:249.37832;29:248.53209;47:248.14263
asymmetric:tornado:8:n-mrc,asymmetric_p2p_tornado_8mib,asymmetric,tornado,8,n-mrc,mrc,195.180510143,1.27412215399,13:195.32618;29:194.87078;47:195.34494
asymmetric:tornado:8:ops,asymmetric_p2p_tornado_8mib,asymmetric,tornado,8,ops,mrc,482.648274889,0.515248525558,13:492.18073;29:439.07148;47:520.27438
asymmetric:tornado:8:reps,asymmetric_p2p_tornado_8mib,asymmetric,tornado,8,reps,mrc,234.745838435,1.05937474188,13:232.07145;29:238.27452;47:233.93456
asymmetric:tornado:8:sglb,asymmetric_p2p_tornado_8mib,asymmetric,tornado,8,sglb,mrc,201.962410533,1.23133711537,13:202.54148;29:201.81985;47:201.52725
asymmetric:websearch:100:mrc,asymmetric_p2p_websearch_100pct,asymmetric,websearch,100,mrc,mrc,6698.23517645,1,13:7229.65153834;29:6426.38468011;47:6468.4033152
asymmetric:websearch:100:n-mrc,asymmetric_p2p_websearch_100pct,asymmetric,websearch,100,n-mrc,mrc,8066.71724849,0.830354525901,13:8782.24910528;29:7788.75258842;47:7673.91250647
asymmetric:websearch:100:ops,asymmetric_p2p_websearch_100pct,asymmetric,websearch,100,ops,mrc,7738.60436566,0.865561134792,13:8348.43215273;29:7563.40343577;47:7339.48764158
asymmetric:websearch:100:reps,asymmetric_p2p_websearch_100pct,asymmetric,websearch,100,reps,mrc,6606.89736787,1.01382461441,13:7156.40515179;29:6307.14654384;47:6389.47006868
asymmetric:websearch:100:sglb,asymmetric_p2p_websearch_100pct,asymmetric,websearch,100,sglb,mrc,6727.76240732,0.995611136499,13:7385.25522951;29:6426.2282541;47:6416.38302841
asymmetric:websearch:40:mrc,asymmetric_p2p_websearch_40pct,asymmetric,websearch,40,mrc,mrc,1227.93496083,1,13:1307.17745632;29:1221.36487285;47:1159.70123237
asymmetric:websearch:40:n-mrc,asymmetric_p2p_websearch_40pct,asymmetric,websearch,40,n-mrc,mrc,1220.98487571,1.00569219591,13:1311.10444193;29:1210.18969246;47:1147.20257945
asymmetric:websearch:40:ops,asymmetric_p2p_websearch_40pct,asymmetric,websearch,40,ops,mrc,1312.09143384,0.935860816679,13:1399.65816404;29:1286.40834438;47:1254.56009756
asymmetric:websearch:40:reps,asymmetric_p2p_websearch_40pct,asymmetric,websearch,40,reps,mrc,1222.44979504,1.00448702745,13:1309.69759715;29:1213.41884968;47:1149.50622721
