scenario,parallel,panel,scheme,seed,time_us,spine_id,value_raw,value_display,window_end_us,unit
asymmetric_alltoall_background_256mib_p16,16,cct,ops,13/29/47-geomean,,,9126.7147154,9126.7147154,10272.7,us
asymmetric_alltoall_background_256mib_p16,16,path_share,ops,13,,0,0.131424188654,0.131424188654,10272.7,fraction
asymmetric_alltoall_background_256mib_p16,16,path_share,ops,13,,1,0.126730077288,0.126730077288,10272.7,fraction
asymmetric_alltoall_background_256mib_p16,16,path_share,ops,13,,2,0.121219498225,0.121219498225,10272.7,fraction
asymmetric_alltoall_background_256mib_p16,16,path_share,ops,13,,3,0.123418632689,0.123418632689,10272.7,fraction
asymmetric_alltoall_background_256mib_p16,16,path_share,ops,13,,4,0.12312494969,0.12312494969,10272.7,fraction
asymmetric_alltoall_background_256mib_p16,16,path_share,ops,13,,5,0.125599886,0.125599886,10272.7,fraction
asymmetric_alltoall_background_256mib_p16,16,path_share,ops,13,,6,0.125543484387,0.125543484387,10272.7,fraction
asymmetric_alltoall_background_256mib_p16,16,path_share,ops,13,,7,0.122939283065,0.122939283065,10272.7,fraction
asymmetric_alltoall_background_256mib_p16,16,utilization_cv,ops,13,10,,0.0181201967353,0.014601468289,10272.7,cv
asymmetric_alltoall_background_256mib_p16,16,mean_queue_fraction,ops,13,10,,0.0784646972013,0.107010135425,10272.7,fraction
asymmetric_alltoall_background_256mib_p16,16,utilization_cv,ops,13,20,,0.0107188991835,0.0143505539581,10272.7,cv
asymmetric_alltoall_background_256mib_p16,16,mean_queue_fraction,ops,13,20,,0.107010135425,0.117702080734,10272.7,fraction
asymmetric_alltoall_background_256mib_p16,16,utilization_cv,ops,13,30,,0.014601468289,0.014601468289,10272.7,cv
asymmetric_alltoall_background_256mib_p16,16,mean_queue_fraction,ops,13,30,,0.128394026043,0.128394026043,10272.7,fraction
asymmetric_alltoall_background_256mib_p16,16,utilization_cv,ops,13,40,,0.0140996396273,0.014601468289,10272.7,cv
asymmetric_alltoall_background_256mib_p16,16,mean_queue_fraction,ops,13,40,,0.141631557838,0.141631557838,10272.7,fraction
asymmetric_alltoall_background_256mib_p16,16,utilization_cv,ops,13,50,,0.0196166974385,0.0164582291504,10272.7,cv
asymmetric_alltoall_background_256mib_p16,16,mean_queue_fraction,ops,13,50,,0.162094912962,0.162094912962,10272.7,fraction
asymmetric_alltoall_background_256mib_p16,16,utilization_cv,ops,13,60,,0.0164582291504,0.0169334963465,10272.7,cv
asymmetric_alltoall_background_256mib_p16,16,mean_queue_fraction,ops,13,60,,0.177926398725,0.177926398725,10272.7,fraction
asymmetric_alltoall_background_256mib_p16,16,utilization_cv,ops,13,70,,0.0169334963465,0.0174756086431,10272.7,cv
asymmetric_alltoall_background_256mib_p16,16,mean_queue_fraction,ops,13,70,,0.184594951528,0.184594951528,10272.7,fraction
asymmetric_alltoall_background_256mib_p16,16,utilization_cv,ops,13,80,,0.0174756086431,0.0174756086431,10272.7,cv
asymmetric_alltoall_background_256mib_p16,16,mean_queue_fraction,ops,13,80,,0.194408301253,0.194408301253,10272.7,fraction
asymmetric_alltoall_background_256mib_p16,16,utilization_cv,ops,13,90,,0.0174809150383,0.0174809150383,10272.7,cv
asymmetric_alltoall_background_256mib_p16,16,mean_queue_fraction,ops,13,90,,0.204438206604,0.204438206604,10272.7,fraction
asymmetric_alltoall_background_256mib_p16,16,utilization_cv,ops,13,100,,0.0197307279582,0.0186605556965,10272.7,cv
asymmetric_alltoall_background_256mib_p16,16,mean_queue_fraction,ops,13,100,,0.209352139267,0.20639711642,10272.7,fraction
asymmetric_alltoall_background_256mib_p16,16,utilization_cv,ops,13,110,,0.0186605556965,0.0186605556965,10272.7,cv
asymmetric_alltoall_background_256mib_p16,16,mean_queue_fraction,ops,13,110,,0.215888230515,0.209352139267,10272.7,fraction
asymmetric_alltoall_background_256mib_p16,16,utilization_cv,ops,13,120,,0.0195640388667,0.0186605556965,10272.7,cv
asymmetric_alltoall_background_256mib_p16,16,mean_queue_fraction,ops,13,120,,0.20639711642,0.210029766088,10272.7,fraction
asymmetric_alltoall_background_256mib_p16,16,utilization_cv,ops,13,130,,0.0177486154909,0.0177486154909,10272.7,cv
asymmetric_alltoall_background_256mib_p16,16,mean_queue_fraction,ops,13,130,,0.210029766088,0.212958489452,10272.7,fraction
asymmetric_alltoall_background_256mib_p16,16,utilization_cv,ops,13,140,,0.0176651919535,0.0176651919535,10272.7,cv
asymmetric_alltoall_background_256mib_p16,16,mean_queue_fraction,ops,13,140,,0.212958489452,0.212958489452,10272.7,fraction
asymmetric_alltoall_background_256mib_p16,16,utilization_cv,ops,13,150,,0.0165152003684,0.017037024067,10272.7,cv
