scenario,parallel,panel,scheme,seed,time_us,spine_id,value_raw,value_display,window_end_us,unit
asymmetric_alltoall_background_256mib_p4,4,cct,ops,13/29/47-geomean,,,11823.6952516,11823.6952516,12931.6,us
asymmetric_alltoall_background_256mib_p4,4,path_share,ops,13,,0,0.131386252732,0.131386252732,12931.6,fraction
asymmetric_alltoall_background_256mib_p4,4,path_share,ops,13,,1,0.125505500914,0.125505500914,12931.6,fraction
asymmetric_alltoall_background_256mib_p4,4,path_share,ops,13,,2,0.123881031152,0.123881031152,12931.6,fraction
asymmetric_alltoall_background_256mib_p4,4,path_share,ops,13,,3,0.123661422975,0.123661422975,12931.6,fraction
asymmetric_alltoall_background_256mib_p4,4,path_share,ops,13,,4,0.123378750963,0.123378750963,12931.6,fraction
asymmetric_alltoall_background_256mib_p4,4,path_share,ops,13,,5,0.124069130076,0.124069130076,12931.6,fraction
asymmetric_alltoall_background_256mib_p4,4,path_share,ops,13,,6,0.124184296662,0.124184296662,12931.6,fraction
asymmetric_alltoall_background_256mib_p4,4,path_share,ops,13,,7,0.123933614527,0.123933614527,12931.6,fraction
asymmetric_alltoall_background_256mib_p4,4,utilization_cv,ops,13,10,,0.0242391287424,0.0193416660691,12931.6,cv
asymmetric_alltoall_background_256mib_p4,4,mean_queue_fraction,ops,13,10,,0.0957023055397,0.145257525923,12931.6,fraction
asymmetric_alltoall_background_256mib_p4,4,utilization_cv,ops,13,20,,0.0193416660691,0.0190806841989,12931.6,cv
asymmetric_alltoall_background_256mib_p4,4,mean_queue_fraction,ops,13,20,,0.145257525923,0.163587915443,12931.6,fraction
asymmetric_alltoall_background_256mib_p4,4,utilization_cv,ops,13,30,,0.0188197023286,0.0188197023286,12931.6,cv
asymmetric_alltoall_background_256mib_p4,4,mean_queue_fraction,ops,13,30,,0.181918304963,0.181918304963,12931.6,fraction
asymmetric_alltoall_background_256mib_p4,4,utilization_cv,ops,13,40,,0.016865990373,0.016865990373,12931.6,cv
asymmetric_alltoall_background_256mib_p4,4,mean_queue_fraction,ops,13,40,,0.195864933282,0.195864933282,12931.6,fraction
asymmetric_alltoall_background_256mib_p4,4,utilization_cv,ops,13,50,,0.0154562462436,0.0154562462436,12931.6,cv
asymmetric_alltoall_background_256mib_p4,4,mean_queue_fraction,ops,13,50,,0.219980829313,0.219980829313,12931.6,fraction
asymmetric_alltoall_background_256mib_p4,4,utilization_cv,ops,13,60,,0.0151341461428,0.0154562462436,12931.6,cv
asymmetric_alltoall_background_256mib_p4,4,mean_queue_fraction,ops,13,60,,0.225721733772,0.225721733772,12931.6,fraction
asymmetric_alltoall_background_256mib_p4,4,utilization_cv,ops,13,70,,0.0153442252679,0.0153442252679,12931.6,cv
asymmetric_alltoall_background_256mib_p4,4,mean_queue_fraction,ops,13,70,,0.231004091682,0.225721733772,12931.6,fraction
asymmetric_alltoall_background_256mib_p4,4,utilization_cv,ops,13,80,,0.0155174618843,0.0153442252679,12931.6,cv
asymmetric_alltoall_background_256mib_p4,4,mean_queue_fraction,ops,13,80,,0.234555164192,0.225721733772,12931.6,fraction
asymmetric_alltoall_background_256mib_p4,4,utilization_cv,ops,13,90,,0.0150358390283,0.0155174618843,12931.6,cv
asymmetric_alltoall_background_256mib_p4,4,mean_queue_fraction,ops,13,90,,0.219510927386,0.219510927386,12931.6,fraction
asymmetric_alltoall_background_256mib_p4,4,utilization_cv,ops,13,100,,0.0166313693268,0.0166313693268,12931.6,cv
asymmetric_alltoall_background_256mib_p4,4,mean_queue_fraction,ops,13,100,,0.194617714764,0.194617714764,12931.6,fraction
asymmetric_alltoall_background_256mib_p4,4,utilization_cv,ops,13,110,,0.019815436166,0.019815436166,12931.6,cv
asymmetric_alltoall_background_256mib_p4,4,mean_queue_fraction,ops,13,110,,0.167016888374,0.167016888374,12931.6,fraction
asymmetric_alltoall_background_256mib_p4,4,utilization_cv,ops,13,120,,0.02870046977,0.02870046977,12931.6,cv
asymmetric_alltoall_background_256mib_p4,4,mean_queue_fraction,ops,13,120,,0.14024032194,0.14024032194,12931.6,fraction
asymmetric_alltoall_background_256mib_p4,4,utilization_cv,ops,13,130,,0.0315274448559,0.02870046977,12931.6,cv
asymmetric_alltoall_background_256mib_p4,4,mean_queue_fraction,ops,13,130,,0.126738777609,0.129040312982,12931.6,fraction
asymmetric_alltoall_background_256mib_p4,4,utilization_cv,ops,13,140,,0.0290331673826,0.02870046977,12931.6,cv
asymmetric_alltoall_background_256mib_p4,4,mean_queue_fraction,ops,13,140,,0.129040312982,0.126738777609,12931.6,fraction
asymmetric_alltoall_background_256mib_p4,4,utilization_cv,ops,13,150,,0.0231888662246,0.0231888662246,12931.6,cv
asymmetric_alltoall_background_256mib_p4,4,mean_queue_fraction,ops,13,150,,0.122384970022,0.122384970022,12931.6,fraction
asymmetric_alltoall_background_256mib_p4,4,utilization_cv,ops,13,160,,0.0190801068584,0.0231888662246,12931.6,cv
asymmetric_alltoall_background_256mib_p4,4,mean_queue_fraction,ops,13,160,,0.11478769374,0.122384970022,12931.6,fraction
asymmetric_alltoall_background_256mib_p4,4,utilization_cv,ops,13,170,,0.0231707179403,0.0231888662246,12931.6,cv
asymmetric_alltoall_background_256mib_p4,4,mean_queue_fraction,ops,13,170,,0.115077066554,0.122384970022,12931.6,fraction
asymmetric_alltoall_background_256mib_p4,4,utilization_cv,ops,13,180,,0.0377869031203,0.0377869031203,12931.6,cv
asymmetric_alltoall_background_256mib_p4,4,mean_queue_fraction,ops,13,180,,0.126253556077,0.126253556077,12931.6,fraction
asymmetric_alltoall_background_256mib_p4,4,utilization_cv,ops,13,190,,0.0448640339275,0.0448640339275,12931.6,cv
asymmetric_alltoall_background_256mib_p4,4,mean_queue_fraction,ops,13,190,,0.140651617006,0.140651617006,12931.6,fraction
