figure,panel,scenario,column_key,column_label,family,traffic,size_mib,websearch_load_pct,parallel,degraded,periodic_background,scheme,metric,geomean_us,baseline_us,ratio,seed_count,baseline_schemes
p2p,Healthy,healthy_p2p_tornado_8mib,tornado_8mib,"Tornado
8 MiB",healthy_p2p,tornado,8,0,0,0,0,ops,p99_fct_us,379.38601244741136,182.6519190102882,2.07709842033492,3,ops;reps;mrc;sglb;ecmp
p2p,Healthy,healthy_p2p_tornado_8mib,tornado_8mib,"Tornado
8 MiB",healthy_p2p,tornado,8,0,0,0,0,reps,p99_fct_us,225.45381570770888,182.6519190102882,1.2343358719106028,3,ops;reps;mrc;sglb;ecmp
p2p,Healthy,healthy_p2p_tornado_8mib,tornado_8mib,"Tornado
8 MiB",healthy_p2p,tornado,8,0,0,0,0,mrc,p99_fct_us,182.6519190102882,182.6519190102882,1.0,3,ops;reps;mrc;sglb;ecmp
p2p,Healthy,healthy_p2p_tornado_8mib,tornado_8mib,"Tornado
8 MiB",healthy_p2p,tornado,8,0,0,0,0,sglb,p99_fct_us,190.77454581375014,182.6519190102882,1.044470525398665,3,ops;reps;mrc;sglb;ecmp
p2p,Healthy,healthy_p2p_tornado_8mib,tornado_8mib,"Tornado
8 MiB",healthy_p2p,tornado,8,0,0,0,0,n-mrc,p99_fct_us,182.65592327970396,182.6519190102882,1.0000219229528902,3,ops;reps;mrc;sglb;ecmp
p2p,Healthy,healthy_p2p_tornado_16mib,tornado_16mib,"Tornado
16 MiB",healthy_p2p,tornado,16,0,0,0,0,ecmp,p99_fct_us,1357.2908012491846,355.6671027160651,3.8161831411569493,3,ops;reps;mrc;sglb;ecmp
p2p,Healthy,healthy_p2p_tornado_16mib,tornado_16mib,"Tornado
16 MiB",healthy_p2p,tornado,16,0,0,0,0,ops,p99_fct_us,721.3817476709054,355.6671027160651,2.0282498498231822,3,ops;reps;mrc;sglb;ecmp
p2p,Healthy,healthy_p2p_tornado_16mib,tornado_16mib,"Tornado
16 MiB",healthy_p2p,tornado,16,0,0,0,0,reps,p99_fct_us,427.7609049245486,355.6671027160651,1.2027002263013264,3,ops;reps;mrc;sglb;ecmp
p2p,Healthy,healthy_p2p_tornado_16mib,tornado_16mib,"Tornado
16 MiB",healthy_p2p,tornado,16,0,0,0,0,mrc,p99_fct_us,355.6671027160651,355.6671027160651,1.0,3,ops;reps;mrc;sglb;ecmp
p2p,Healthy,healthy_p2p_tornado_16mib,tornado_16mib,"Tornado
16 MiB",healthy_p2p,tornado,16,0,0,0,0,sglb,p99_fct_us,366.8819664545682,355.6671027160651,1.0315319118716924,3,ops;reps;mrc;sglb;ecmp
p2p,Healthy,healthy_p2p_tornado_16mib,tornado_16mib,"Tornado
16 MiB",healthy_p2p,tornado,16,0,0,0,0,n-mrc,p99_fct_us,355.6709281704826,355.6671027160651,1.0000107557161975,3,ops;reps;mrc;sglb;ecmp
p2p,Healthy,healthy_p2p_websearch_40pct,websearch_40pct,"WebSearch
40%",healthy_p2p,websearch,0,40,0,0,0,ecmp,p99_fct_us,1750.5869263041648,1220.3361580924684,1.4345120520238799,3,ops;reps;mrc;sglb;ecmp
p2p,Healthy,healthy_p2p_websearch_40pct,websearch_40pct,"WebSearch
40%",healthy_p2p,websearch,0,40,0,0,0,ops,p99_fct_us,1257.471435523249,1220.3361580924684,1.0304303672267054,3,ops;reps;mrc;sglb;ecmp
p2p,Healthy,healthy_p2p_websearch_40pct,websearch_40pct,"WebSearch
40%",healthy_p2p,websearch,0,40,0,0,0,reps,p99_fct_us,1222.3382982965043,1220.3361580924684,1.0016406464651226,3,ops;reps;mrc;sglb;ecmp
p2p,Healthy,healthy_p2p_websearch_40pct,websearch_40pct,"WebSearch
40%",healthy_p2p,websearch,0,40,0,0,0,mrc,p99_fct_us,1221.460949541348,1220.3361580924684,1.0009217062375977,3,ops;reps;mrc;sglb;ecmp
p2p,Healthy,healthy_p2p_websearch_40pct,websearch_40pct,"WebSearch
40%",healthy_p2p,websearch,0,40,0,0,0,sglb,p99_fct_us,1220.3361580924684,1220.3361580924684,1.0,3,ops;reps;mrc;sglb;ecmp
p2p,Healthy,healthy_p2p_websearch_40pct,websearch_40pct,"WebSearch
40%",healthy_p2p,websearch,0,40,0,0,0,n-mrc,p99_fct_us,1215.482614854009,1220.3361580924684,0.996022781750525,3,ops;reps;mrc;sglb;ecmp
p2p,Healthy,healthy_p2p_websearch_60pct,websearch_60pct,"WebSearch
60%",healthy_p2p,websearch,0,60,0,0,0,ecmp,p99_fct_us,3012.508842150929,1993.9161478289293,1.5108503160632365,3,ops;reps;mrc;sglb;ecmp
p2p,Healthy,healthy_p2p_websearch_60pct,websearch_60pct,"WebSearch
60%",healthy_p2p,websearch,0,60,0,0,0,ops,p99_fct_us,2153.3829818522677,1993.9161478289293,1.0799767002223104,3,ops;reps;mrc;sglb;ecmp
p2p,Healthy,healthy_p2p_websearch_60pct,websearch_60pct,"WebSearch
60%",healthy_p2p,websearch,0,60,0,0,0,reps,p99_fct_us,2047.8159608398805,1993.9161478289293,1.0270321362659307,3,ops;reps;mrc;sglb;ecmp
p2p,Healthy,healthy_p2p_websearch_60pct,websearch_60pct,"WebSearch
60%",healthy_p2p,websearch,0,60,0,0,0,mrc,p99_fct_us,1993.9161478289293,1993.9161478289293,1.0,3,ops;reps;mrc;sglb;ecmp
p2p,Healthy,healthy_p2p_websearch_60pct,websearch_60pct,"WebSearch
60%",healthy_p2p,websearch,0,60,0,0,0,sglb,p99_fct_us,2014.1498115989193,1993.9161478289293,1.0101477004396706,3,ops;reps;mrc;sglb;ecmp
p2p,Healthy,healthy_p2p_websearch_60pct,websearch_60pct,"WebSearch
60%",healthy_p2p,websearch,0,60,0,0,0,n-mrc,p99_fct_us,2016.278167805384,1993.9161478289293,1.0112151255712551,3,ops;reps;mrc;sglb;ecmp
p2p,Healthy,healthy_p2p_websearch_80pct,websearch_80pct,"WebSearch
80%",healthy_p2p,websearch,0,80,0,0,0,ecmp,p99_fct_us,5033.446873904805,3804.222017068426,1.3231212193508184,3,ops;reps;mrc;sglb;ecmp
