panel,metric,scheme,permutation_4mib,permutation_8mib,permutation_16mib,tornado_4mib,tornado_8mib,tornado_16mib
Tested traffic (bg=0),main_max_fct_us,ops,2.0091337479307523,2.146018488211661,2.0415326229264155,2.0194891889755455,2.0245265712388925,2.093064414075984
Tested traffic (bg=0),main_max_fct_us,reps,1.2721237042798794,1.2518671089750362,1.2174130863492325,1.2587418800425565,1.2919976828366762,1.306784877410166
Tested traffic (bg=0),main_max_fct_us,mrc,1.0374004900956062,1.0477209293308625,1.038376935793657,1.0376333960943265,1.0464633612275065,1.0402582401441376
Tested traffic (bg=0),main_max_fct_us,sglb,1.0,1.0,1.0,1.0,1.0,1.0
Tested traffic (bg=0),main_max_fct_us,n-mrc,0.9547452216127954,0.9523600813148907,1.1111142350333594,0.9712581580916662,0.9659621950334881,0.9781694473742306
ECMP traffic (bg=1),ecmp_background_max_fct_us,ops,1.5115192188576083,1.4975859342584905,1.465960751931681,2.0481468879233455,1.7343483354330593,1.5977654813695412
ECMP traffic (bg=1),ecmp_background_max_fct_us,reps,1.0,1.0,1.0,1.1522229681755243,1.0282846978191489,1.0
ECMP traffic (bg=1),ecmp_background_max_fct_us,mrc,1.380150882427176,1.3740396776688797,1.40781345973397,1.5939073852394376,1.4829854491371,1.3958708919070821
ECMP traffic (bg=1),ecmp_background_max_fct_us,sglb,1.0856516822116993,1.154398440394858,1.2293665447125515,1.0,1.0,1.0494092954903038
ECMP traffic (bg=1),ecmp_background_max_fct_us,n-mrc,1.1053787362721452,1.1441827185599274,1.2085130066506315,1.0227945303746846,1.0225227614350787,1.048153732408522
