panel,metric,scheme,64mib_healthy_p4,64mib_healthy_p8,64mib_healthy_p16,64mib_degraded_bg_p4,64mib_degraded_bg_p8,64mib_degraded_bg_p16,256mib_healthy_p4,256mib_healthy_p8,256mib_healthy_p16,256mib_degraded_bg_p4,256mib_degraded_bg_p8,256mib_degraded_bg_p16,1024mib_healthy_p4,1024mib_healthy_p8,1024mib_healthy_p16,1024mib_degraded_bg_p4,1024mib_degraded_bg_p8,1024mib_degraded_bg_p16
All-to-All,all_to_all_cct_us,ops,1.3289675870303799,1.1187061486289092,1.0449464722841293,1.0983376332391408,1.1697747289534184,1.1044892022266855,1.3197686324186721,1.0512089019468882,1.1246165788850035,1.1212861071375329,1.1353962142836762,1.1958644343921752,1.12919071868007,1.0326513646488122,1.0287777112909573,1.3220265908151947,1.4234140029795292,1.4375195394884421
All-to-All,all_to_all_cct_us,reps,1.0890078706697985,1.039259966294921,1.0416540191827586,1.0,1.047569104410585,1.020631056330544,1.1821238065686395,1.0311383649601984,1.1285118606499749,1.0,1.0,1.033563034867281,1.1277184854114153,1.0299342598254662,1.0,1.0,1.0043070212403185,1.001610757770572
All-to-All,all_to_all_cct_us,mrc,1.0,1.0,1.0,1.2775440812711132,1.0138347243484598,1.0263041418317114,1.0,1.0,1.0,1.04374166743225,1.030749290222946,1.0280160443397264,1.0,1.0,1.031762173571647,1.1670132349106264,1.115980431383851,1.107275554141879
All-to-All,all_to_all_cct_us,sglb,1.0345577573648002,1.0841755713816061,1.1081667307231635,1.0327203300825152,1.0,1.0,1.1272072284474715,1.0032734476543181,1.094158382592477,1.031436375252238,1.0020873125851195,1.0,1.21978262842113,1.0644110994263083,1.0666504040587321,1.1210085711340239,1.0,1.0
All-to-All,all_to_all_cct_us,n-mrc,1.022876346505173,1.0774272590156329,1.036761748420356,1.0787095624297276,1.059647827324019,1.0184934077597747,1.1631802421865938,1.025440478695487,1.0202369665051574,1.0674264109341078,1.0886434324415317,1.0078751294847557,1.116133025821713,1.0733557367396067,1.1974283649105217,1.0596902254108531,1.0299359630822804,1.119570856669668
