flow_size,flows,mrc_degradation_gmean,rr_degradation_gmean,sglb_degradation_gmean,mrc_rr_ratio_gmean,mrc_sglb_ratio_gmean,slow_mrc_rr_ratio_gmean,slow_mrc_sglb_ratio_gmean,ecmp_mixed_mrc_rr_ratio_gmean,ecmp_mixed_mrc_sglb_ratio_gmean,mrc_nominal_rotations_mean,mrc_actual_full_sweeps_mean,mrc_actionable_fraction,mrc_coverage_mean,mrc_pre_feedback_selections_mean,mrc_post_feedback_selections_mean,healthy_mrc_fct_us_mean,healthy_mrc_fct_us_p99,healthy_rr_fct_us_mean,healthy_rr_fct_us_p99,healthy_sglb_fct_us_mean,healthy_sglb_fct_us_p99,fixed_hotspot_mrc_fct_us_mean,fixed_hotspot_mrc_fct_us_p99,fixed_hotspot_rr_fct_us_mean,fixed_hotspot_rr_fct_us_p99,fixed_hotspot_sglb_fct_us_mean,fixed_hotspot_sglb_fct_us_p99,ecmp_mixed_mrc_fct_us_mean,ecmp_mixed_mrc_fct_us_p99,ecmp_mixed_rr_fct_us_mean,ecmp_mixed_rr_fct_us_p99,ecmp_mixed_sglb_fct_us_mean,ecmp_mixed_sglb_fct_us_p99,slow_uplink_mrc_fct_us_mean,slow_uplink_mrc_fct_us_p99,slow_uplink_rr_fct_us_mean,slow_uplink_rr_fct_us_p99,slow_uplink_sglb_fct_us_mean,slow_uplink_sglb_fct_us_p99
6144,8352,1.0095982147009679,0.9512219718724588,1.0088261010659427,1.0614079642920862,1.0066969586578374,1.0459598622833715,1.0879383897866628,1.003103144401306,0.9446466661425245,0.03125,0.0,0.0,0.03125,0.8613505747126436,0.0,14.845641969644419,57.62952302071409,14.852465245506517,57.62321183513537,14.798956624816839,58.18849111503049,14.429862395889705,67.61681137024324,13.441685671751756,64.25861303011759,14.873146998380108,58.37786255530853,16.63012472826524,63.01537417375938,16.55499709416556,62.547238652790334,17.97028971868664,66.83950128067009,15.474719555851378,47.56048759960173,14.723797381521853,36.09304217258616,15.082961174625309,58.64499389711502
33792,5023,1.6368904449511614,1.5396902000926518,1.0108699165282766,1.0625961141136808,1.6289103108846368,0.9016981521900373,1.3906658828113618,0.9961537924610739,0.9734029445772421,0.140625,0.0,0.0,0.140625,8.406928130599244,0.0,15.96107948262119,59.582289572581075,15.970595907068772,59.37160725197238,15.89741434226692,59.768933584721836,23.92880673724998,70.65815290027199,22.435219836991198,77.44539738586542,16.01469823635412,59.95084362367967,18.17979777846045,65.8708511631075,18.189829631934423,65.27939618740469,19.153043448378757,67.50362144916055,20.65287343046115,51.11177356956081,22.09699905259943,41.08199801384117,16.460386868645546,61.061585538116205
136192,3325,2.152080349425601,1.9961769883391511,1.00833617355752,1.0776041789833084,2.144179679897523,0.8923630756747559,1.32247453486999,0.992583236856701,0.9703574254221384,0.53125,0.0,0.0,0.53125,34.0,0.0,19.931946249278027,62.88049503222024,19.96285482070663,63.17989336359961,19.897289707924646,63.57588073660048,39.80374414401492,86.89691522719856,36.758621437247896,82.91519103940533,19.99251767784951,62.49787831118463,22.370025948526223,67.81553604447541,22.451585046270534,67.41281519962295,23.559212113939772,71.23793342409529,24.834884595142743,56.31316807522676,27.03378985830068,53.717020076333604,20.41140098612019,64.19877336359974
262144,48,1.5574577571133503,2.120800194827856,1.0047854789468245,0.7338824888404948,1.5529824064558408,0.8925343200000484,1.2364271018732085,0.9944018548534616,0.9932662361312082,1.0,1.0,0.0,1.0,64.0,0.0,23.989475386764983,57.41395847441661,24.041162886764994,58.03669847441656,23.958162886764992,57.72134847441659,38.40501705343164,96.7069384744166,49.16901705343165,82.9226252733608,24.061100386764995,58.82455847441659,25.94460038676499,59.7460984744166,26.008537886764998,59.124148474416586,26.551746220098323,62.254553375135025,28.708079553431663,56.29499847441663,31.715808720098323,56.9191522845616,24.23795455343166,58.30339847441658
524288,48,1.286378718883975,1.596742505404516,1.0056087087754122,0.8058990088362568,1.2844501149460428,1.0407536356460727,1.086818595561005,0.9959338673122767,0.9614396691606706,2.0,1.0,1.0,1.0,88.39583333333333,39.604166666666664,45.7769426168256,116.39022608980457,45.723630116825596,115.11022608980448,45.61967178349227,115.10966307158738,54.362713450158914,105.1751915795807,66.6956926168256,117.76077815626259,45.956775950158935,117.69688307158738,49.49469261682561,117.06339608980456,49.63915095015895,119.49429307158742,52.20200511682561,116.55555307158741,47.38944261682561,106.4763260898045,44.33429678349227,98.39342476632291,46.27706761682561,117.33955608980452
683008,48,1.2634307551183002,1.636247840064084,1.0065960543896557,0.7735466809079238,1.261069532385909,0.9864194694214641,1.083892888379181,0.9940896759920435,0.9668319112508251,2.609375,1.0,1.0,1.0,88.77083333333333,78.22916666666667,50.425349751999995,127.93165207025915,50.505787252000005,129.23195207025913,50.31645391866666,128.85415207025912,59.41757891866664,95.42777443377737,76.58428725199998,123.34644489544162,50.62476641866666,128.81958207025912,53.45182891866665,134.56946594102556,53.480516418666674,133.08074594102555,56.01957891866667,140.20719874690295,52.291724752,105.48402777036108,51.542245585333326,80.52536478172135,50.90780808533332,128.94592685172293
1048576,48,1.344022591757069,2.4513510807500034,1.0089900533606129,0.5466024498299271,1.3361909573154902,1.0091976212552192,1.0924390246404732,1.002258961994512,0.9724729834373751,4.0,1.625,1.0,1.0,88.5,167.5,69.17601166933075,167.4399769848656,69.30326166933075,167.85238698486557,69.00313666933076,167.51941698486553,85.01549083599744,134.3178758605906,156.69634500266406,272.9163086084714,69.5975950026641,167.4063969848655,76.64340750266406,169.47596890637283,76.47749083599741,167.7658989063728,79.23161583599743,168.78612110335519,72.40786583599744,140.4446242924902,68.7242408359974,104.2198171085342,69.71217833599741,167.25316698486557
1364992,48,1.3645560523585338,5.382228374889494,1.008783995894775,0.253183343428357,1.3472032055601046,0.9560523569082436,1.060979858357313,1.0054393053138009,0.9640667270450751,5.21875,1.8333333333333333,1.0,1.0,88.85416666666667,245.14583333333334,91.5265358906194,207.81825804736891,91.75564005728607,208.49339804736886,92.05624422395273,208.41809804736886,113.8402025572861,238.48770911534152,437.30445255728614,563.2672773592792,93.02630672395276,209.82177804736887,99.70118172395273,261.90223834999836,98.89480672395275,256.7770283499983,104.89778589061945,285.8057983499984,94.54722339061941,191.80133821610036,94.7691608906194,181.2541582855622,93.74466089061941,209.76604804736894
2097152,48,2.536316851328585,9.767757289161398,1.0074767615247715,0.26092355517662064,2.5327711835985887,0.7953947912400197,1.0754779586967638,1.002385409770398,0.9106023226409198,8.0,2.7291666666666665,1.0,1.0,88.8125,423.1875,131.50273549975205,337.3063368500367,130.255610499752,307.8871268500367,130.5078396664187,312.49837685003666,298.626547999752,558.732001909095,1099.2402563330854,1264.1926622604249,131.599547999752,323.69832356439116,142.087610499752,397.2397468500368,140.8220688330853,360.03275002545973,154.55771466641872,375.12904002545963,131.78296466641874,259.22338591681654,158.9071313330854,281.5435054667171,131.5401521664187,319.22097685003666
3412992,349,4.825650495212682,12.433153475609199,1.005714959841788,0.3876401806724757,4.800732944728339,0.42468996079351873,1.1439892956179691,1.0042006129218706,0.933017536494849,13.03125,3.5587392550143266,1.0,1.0,88.44985673352436,745.5501432664756,211.5001471068472,625.2192551883124,211.77316143349478,626.6056551883123,211.72928750799315,628.4772551883125,892.780227336073,1170.6871152333708,2290.510714442091,2556.562260336796,212.15345083177556,624.9028551883123,239.94126172002763,691.1530292041008,239.0752216054145,686.887206592784,261.04517289481265,708.184710456326,230.20013278019948,620.819224099397,521.5858462472481,928.9987653029175,211.9880926655864,627.2108551883124
