route_calls,all_same_quality_calls,all_zero_quality_calls,remote_snapshot_used,remote_snapshot_missing,avg_candidate_choices,avg_distinct_qualities,all_zero_fraction,all_same_fraction,seed
1369620,224365,212463,2206105,2807,5.28487,2.19253,0.15512550926534366,0.16381551087162863,13
1367691,280593,265998,2266016,2784,5.42384,2.17365,0.19448691261403342,0.20515818265967972,29
1362395,249871,235954,2238318,2978,5.4212,2.17688,0.17319059450453061,0.18340569364978584,47
