scenario,flow_size,flow_count,mrc_sglb_ratio_geomean,mrc_rr_ratio_geomean,actionable_fraction,post_update_selection_fraction_mean,sglb_avg_candidate_choices,sglb_all_zero_fraction
isolated_no_primer,6144,1000,0.9984335736239646,1.0,0.0,0.0,8.0,1.0
isolated_no_primer,30720000,20,3.3141402069004497,0.9406675551705729,0.95,0.9178133333333335,5.20029,0.24820350877192981
isolated_with_primer,6144,1000,1.2522166668894383,0.9341382956569386,0.0,0.0,4.7832,0.04623510381936421
isolated_with_primer,30720000,20,3.54717782891057,0.9335732448030524,0.95,0.9300733333333333,5.00445,0.16174591308840439
