command_sha256,connections,hotspot_on_us,hotspot_rate_gbps,hotspot_spines,returncode,runtime_s,scheme,seed,sim_sha256,traffic_sha256,valid
dad4eff8e09f9a8c0cdf7769169c128e11d3815df468dfb0a9092fb6ec913f89,6810,1000.0,340.0,5,0,41.419907416999195,mrc,13,05b10989885b85e39b2734e10a7cadaeb4b6fc86a56537f69ae6abbdeae22cec,f9fa958e4c2a749ae0962723fb08d0a299d72f7cc32a4c480080b093b32b9d38,1
22183b8b9f65dfcd0239a97a10abce30c732fedb8e1fe2593ba0f12b21bc69c6,6810,1000.0,340.0,5,0,49.4162515070002,sglb,13,05b10989885b85e39b2734e10a7cadaeb4b6fc86a56537f69ae6abbdeae22cec,f9fa958e4c2a749ae0962723fb08d0a299d72f7cc32a4c480080b093b32b9d38,1
34c766a426db782fbc32b53cbdc7c756a29b7382214df8954adfb67700feb9a7,6810,1000.0,340.0,5,0,34.26771655899938,rr,13,05b10989885b85e39b2734e10a7cadaeb4b6fc86a56537f69ae6abbdeae22cec,f9fa958e4c2a749ae0962723fb08d0a299d72f7cc32a4c480080b093b32b9d38,1
1c3a2edd196d25ee8ef93062ee0d3d5b7e66259500f03ac6a3ee3067f3b0b7e8,6810,1000.0,340.0,5,0,40.303011911000794,mrc,29,05b10989885b85e39b2734e10a7cadaeb4b6fc86a56537f69ae6abbdeae22cec,a330479ef08811de8ad2a83c497094e001727a633794c76bfb8bb450ba37480d,1
cdc1099ea9ee3fe70b9704d5b9da0e09050d1d2a3c7035f2b6310c9afe31962d,6810,1000.0,340.0,5,0,49.89097889000004,sglb,29,05b10989885b85e39b2734e10a7cadaeb4b6fc86a56537f69ae6abbdeae22cec,a330479ef08811de8ad2a83c497094e001727a633794c76bfb8bb450ba37480d,1
8c0abdbf1c09dd7fcf7cd13a7a39cc77fa525621f59c9287a56f9e6608113497,6810,1000.0,340.0,5,0,35.975700834000236,rr,29,05b10989885b85e39b2734e10a7cadaeb4b6fc86a56537f69ae6abbdeae22cec,a330479ef08811de8ad2a83c497094e001727a633794c76bfb8bb450ba37480d,1
3588bcc1bd6ee28c76ff04c62f6f10142158809a551ff6e63d85f8fef32c0b17,6810,1000.0,340.0,5,0,37.37348081900018,mrc,47,05b10989885b85e39b2734e10a7cadaeb4b6fc86a56537f69ae6abbdeae22cec,d2bc42c0a883b86527cc18c2af2f34b19ba6992e4b0bea56e4a9bbe9c68ebf91,1
52265ecb1b1b717d38cee2571e81ab616adf3ea50d9dd8f58315fe97077616cb,6810,1000.0,340.0,5,0,52.55525201300043,sglb,47,05b10989885b85e39b2734e10a7cadaeb4b6fc86a56537f69ae6abbdeae22cec,d2bc42c0a883b86527cc18c2af2f34b19ba6992e4b0bea56e4a9bbe9c68ebf91,1
3961e09bce837544275569a308e205ef6803fdb06bea0682079a9d46f326563f,6810,1000.0,340.0,5,0,36.18528247099857,rr,47,05b10989885b85e39b2734e10a7cadaeb4b6fc86a56537f69ae6abbdeae22cec,d2bc42c0a883b86527cc18c2af2f34b19ba6992e4b0bea56e4a9bbe9c68ebf91,1
