load_pct,flow_size,flow_size_kib,flow_count,quality_feedback_fraction,actionable_fraction,actionable_feedback_mean,effective_updates_mean,fct_ratio_geomean,rr_fct_mean_us,mrc_fct_mean_us
60,6144,6.0,1656,0.04045893719806763,0.0,0.0,0.04891304347826087,1.006251242606221,13.38394118115943,13.512955613526549
60,13312,13.0,549,0.0692167577413479,0.0,0.0,0.12750455373406194,0.9974137219973628,14.124466357012745,14.09820788706739
60,19456,19.0,1054,0.11669829222011385,0.0,0.0,0.19070208728652752,0.9903019560223804,15.129901707779895,15.023943358633776
60,33792,33.0,1148,0.156794425087108,0.0,0.0,0.3606271777003484,0.9822326924683036,16.18338295296167,15.809000548780512
60,54272,53.0,1450,0.15655172413793103,0.0,0.0,0.4793103448275862,0.9824198700288097,17.224733372413795,16.930352337931044
60,136192,133.0,769,0.24967490247074123,0.0,0.0,1.2834850455136542,0.9922367956901216,21.614256002600754,21.450121282184647
60,683008,667.0,1126,0.48401420959147423,0.41207815275310833,4.979573712255773,5.9902309058614565,0.9993745203517578,51.90078104795738,52.064352362344636
60,1364992,1333.0,1080,0.5537037037037037,0.5231481481481481,9.060185185185185,9.67962962962963,1.0038092779183152,97.0810928611111,97.65749008333323
60,3412992,3333.0,1099,0.7261146496815286,0.7142857142857143,20.015468607825294,20.56778889899909,0.9715678437318697,267.0579881073703,256.46623123748844
60,6827008,6667.0,805,0.8298136645962733,0.8198757763975155,36.52173913043478,36.916770186335405,0.9553871530701002,591.8794725788823,557.3448912124218
60,20480000,20000.0,251,0.9641434262948207,0.9641434262948207,81.59760956175299,81.80876494023904,0.9518507173499614,1618.5048402390441,1513.511911952192
60,30720000,30000.0,90,0.9777777777777777,0.9666666666666667,115.16666666666667,115.75555555555556,0.9291945533686964,2272.4468055555544,2043.4392499999997
80,6144,6.0,2177,0.08038585209003216,0.0,0.0,0.09600367478180984,1.0125381332575365,17.82448839549837,17.939097352779065
80,13312,13.0,707,0.1272984441301273,0.0,0.0,0.19943422913719944,1.015388382498521,19.07839821782181,19.2341164639321
80,19456,19.0,1448,0.16022099447513813,0.0,0.0,0.25,0.993782404564052,19.99832395027626,19.891697983425427
80,33792,33.0,1508,0.2473474801061008,0.0,0.0,0.5245358090185677,0.9893213061573529,21.40226433687004,21.183794973474793
80,54272,53.0,1947,0.2840267077555213,0.0,0.0,0.7611710323574731,0.9903762356992092,23.3362585772984,23.271286979969176
80,136192,133.0,1002,0.3842315369261477,0.0,0.0,1.844311377245509,0.9990455157821937,28.4905653493014,28.605885209580833
80,683008,667.0,1516,0.6279683377308707,0.5626649076517151,7.378627968337731,8.70844327176781,1.0022538646031085,68.10036946569922,68.53077375329816
80,1364992,1333.0,1430,0.7153846153846154,0.6839160839160839,13.221678321678322,14.184615384615384,1.0088968932611422,134.2953626713288,135.93764980419573
80,3412992,3333.0,1500,0.8433333333333334,0.83,29.838666666666665,30.434,0.9457186638599836,429.5195397133333,390.7504358466668
80,6827008,6667.0,1049,0.9237368922783603,0.9180171591992373,53.61582459485224,54.159199237368924,0.9067307523341417,1031.4551087626314,910.5989524232601
80,20480000,20000.0,333,0.990990990990991,0.990990990990991,109.91591591591592,110.33333333333333,0.9389211304186326,2571.7637459459456,2356.529718918919
80,30720000,30000.0,131,0.9694656488549618,0.9694656488549618,139.2290076335878,139.61832061068702,0.9298536842169939,3325.1130335877847,3043.275629007634
