scenario,family,kind,scheme,primary_metric,primary_geomean_us,primary_min_us,primary_max_us,seed_values_us,main_max_geomean_us,ecmp_background_max_geomean_us,raw_cells,speedup_vs_ecmp
asymmetric_alltoall_background_256mib_p4,asymmetric_alltoall_background,all_to_all,reps,all_to_all_cct_us,10544.762105216862,10189.5,10844.7,13:10610.600000;29:10189.500000;47:10844.700000,10544.762105216862,0.0,3,0.0
asymmetric_alltoall_background_256mib_p4,asymmetric_alltoall_background,all_to_all,sglb,all_to_all_cct_us,10876.251203702039,9927.12,11927.7,13:10865.700000;29:9927.120000;47:11927.700000,10876.251203702039,0.0,3,0.0
asymmetric_alltoall_background_256mib_p8,asymmetric_alltoall_background,all_to_all,mrc,all_to_all_cct_us,9280.525561942115,9126.98,9575.79,13:9575.790000;29:9126.980000;47:9145.680000,9280.525561942115,0.0,3,0.0
asymmetric_alltoall_background_256mib_p8,asymmetric_alltoall_background,all_to_all,n-mrc,all_to_all_cct_us,9801.78526286326,8883.68,10422.6,13:10170.600000;29:10422.600000;47:8883.680000,9801.78526286326,0.0,3,0.0
asymmetric_alltoall_background_256mib_p8,asymmetric_alltoall_background,all_to_all,ops,all_to_all_cct_us,10222.73184133151,9653.96,11334.0,13:11334.000000;29:9763.650000;47:9653.960000,10222.73184133151,0.0,3,0.0
asymmetric_alltoall_background_256mib_p8,asymmetric_alltoall_background,all_to_all,reps,all_to_all_cct_us,9003.669126888055,8836.01,9180.8,13:8997.500000;29:8836.010000;47:9180.800000,9003.669126888055,0.0,3,0.0
asymmetric_alltoall_background_256mib_p8,asymmetric_alltoall_background,all_to_all,sglb,all_to_all_cct_us,9022.462598768861,8606.47,9241.44,13:9234.440000;29:9241.440000;47:8606.470000,9022.462598768861,0.0,3,0.0
asymmetric_alltoall_background_64mib_p16,asymmetric_alltoall_background,all_to_all,mrc,all_to_all_cct_us,2004.494352184249,1959.66,2042.32,13:2042.320000;29:2012.380000;47:1959.660000,2004.494352184249,0.0,3,0.0
asymmetric_alltoall_background_64mib_p16,asymmetric_alltoall_background,all_to_all,n-mrc,all_to_all_cct_us,1989.2390572911902,1944.67,2036.19,13:2036.190000;29:1944.670000;47:1987.910000,1989.2390572911902,0.0,3,0.0
asymmetric_alltoall_background_64mib_p16,asymmetric_alltoall_background,all_to_all,ops,all_to_all_cct_us,2157.199096907581,2052.29,2350.69,13:2350.690000;29:2052.290000;47:2080.830000,2157.199096907581,0.0,3,0.0
asymmetric_alltoall_background_64mib_p16,asymmetric_alltoall_background,all_to_all,reps,all_to_all_cct_us,1993.414139815377,1939.73,2075.64,13:2075.640000;29:1967.430000;47:1939.730000,1993.414139815377,0.0,3,0.0
asymmetric_alltoall_background_64mib_p16,asymmetric_alltoall_background,all_to_all,sglb,all_to_all_cct_us,1953.119227022409,1919.16,1982.35,13:1958.370000;29:1982.350000;47:1919.160000,1953.119227022409,0.0,3,0.0
asymmetric_alltoall_background_64mib_p4,asymmetric_alltoall_background,all_to_all,mrc,all_to_all_cct_us,3037.560992731515,2847.13,3221.07,13:3221.070000;29:3056.100000;47:2847.130000,3037.560992731515,0.0,3,0.0
asymmetric_alltoall_background_64mib_p4,asymmetric_alltoall_background,all_to_all,n-mrc,all_to_all_cct_us,2564.800805983046,2446.26,2652.65,13:2600.030000;29:2652.650000;47:2446.260000,2564.800805983046,0.0,3,0.0
asymmetric_alltoall_background_64mib_p4,asymmetric_alltoall_background,all_to_all,ops,all_to_all_cct_us,2611.4696161848233,2472.19,2839.38,13:2839.380000;29:2537.170000;47:2472.190000,2611.4696161848233,0.0,3,0.0
asymmetric_alltoall_background_64mib_p4,asymmetric_alltoall_background,all_to_all,reps,all_to_all_cct_us,2377.656503021989,2177.63,2713.57,13:2274.690000;29:2177.630000;47:2713.570000,2377.656503021989,0.0,3,0.0
asymmetric_alltoall_background_64mib_p4,asymmetric_alltoall_background,all_to_all,sglb,all_to_all_cct_us,2455.454208623707,2188.93,2921.23,13:2188.930000;29:2921.230000;47:2315.250000,2455.454208623707,0.0,3,0.0
asymmetric_alltoall_background_64mib_p8,asymmetric_alltoall_background,all_to_all,mrc,all_to_all_cct_us,2027.677610856193,1936.66,2135.09,13:2135.090000;29:1936.660000;47:2016.170000,2027.677610856193,0.0,3,0.0
asymmetric_alltoall_background_64mib_p8,asymmetric_alltoall_background,all_to_all,n-mrc,all_to_all_cct_us,2119.3041856384775,2028.32,2204.43,13:2204.430000;29:2128.860000;47:2028.320000,2119.3041856384775,0.0,3,0.0
asymmetric_alltoall_background_64mib_p8,asymmetric_alltoall_background,all_to_all,ops,all_to_all_cct_us,2339.558875504619,2220.16,2570.64,13:2570.640000;29:2220.160000;47:2243.760000,2339.558875504619,0.0,3,0.0
