asset_id,original_path,class,topology,schemes,seeds,sample_scale,runner,source_ref,manifest,summary,report,status,cleanup_action,bytes_before
mrc_sglb_cold_qp_256_quick,experiments/n-mrc/output/mrc_sglb_cold_qp_256_quick,smoke-only,256/64,mrc|rr|sglb,13,0.05,experiments/n-mrc/run_mrc_sglb_cold_qp_256.py,historical-local,experiments/n-mrc/output/mrc_sglb_cold_qp_256_quick/manifest.json,experiments/n-mrc/output/mrc_sglb_cold_qp_256_quick/summary.csv,experiments/n-mrc/output/mrc_sglb_cold_qp_256_quick/mrc_cold_qp_limitations_256.md,complete,delete-directory,900489
mrc_sglb_cold_qp_256_quick_400g,experiments/n-mrc/output/mrc_sglb_cold_qp_256_quick_400g,smoke-only,256/64,mrc|rr|sglb,13,0.05,experiments/n-mrc/run_mrc_sglb_cold_qp_256.py,historical-local,experiments/n-mrc/output/mrc_sglb_cold_qp_256_quick_400g/manifest.json,experiments/n-mrc/output/mrc_sglb_cold_qp_256_quick_400g/summary.csv,experiments/n-mrc/output/mrc_sglb_cold_qp_256_quick_400g/mrc_cold_qp_limitations_256.md,complete,delete-directory,860871
mrc_sglb_cold_qp_256_quick_410g,experiments/n-mrc/output/mrc_sglb_cold_qp_256_quick_410g,smoke-only,,,,,experiments/n-mrc/run_mrc_sglb_cold_qp_256.py,historical-local,,,,present,delete-directory,542123
mrc_sglb_cold_qp_256_quick_430g,experiments/n-mrc/output/mrc_sglb_cold_qp_256_quick_430g,smoke-only,,,,,experiments/n-mrc/run_mrc_sglb_cold_qp_256.py,historical-local,,,,present,delete-directory,540144
mrc_sglb_cold_qp_256_skip_token_quick,experiments/n-mrc/output/mrc_sglb_cold_qp_256_skip_token_quick,smoke-only,256/64,mrc|rr|sglb,13|29|47,0.05,experiments/n-mrc/run_mrc_sglb_cold_qp_256.py,historical-local,experiments/n-mrc/output/mrc_sglb_cold_qp_256_skip_token_quick/manifest.json,experiments/n-mrc/output/mrc_sglb_cold_qp_256_skip_token_quick/summary.csv,experiments/n-mrc/output/mrc_sglb_cold_qp_256_skip_token_quick/mrc_cold_qp_limitations_256.md,complete,delete-directory,2159815
mrc_sglb_feedback_transition,experiments/n-mrc/output/mrc_sglb_feedback_transition,historical,,,,,,historical-local,,experiments/n-mrc/output/mrc_sglb_feedback_transition/summary.csv,,present,retain-historical-until-reviewed,16900456
mrc_sglb_feedback_transition_isolated_pilot,experiments/n-mrc/output/mrc_sglb_feedback_transition_isolated_pilot,smoke-only,,,,,,historical-local,,,,present,delete-directory,1493311
mrc_sglb_feedback_transition_pilot_300,experiments/n-mrc/output/mrc_sglb_feedback_transition_pilot_300,smoke-only,,,,,,historical-local,,experiments/n-mrc/output/mrc_sglb_feedback_transition_pilot_300/summary.csv,,present,delete-directory,589863
mrc_sglb_feedback_transition_pilot_340,experiments/n-mrc/output/mrc_sglb_feedback_transition_pilot_340,smoke-only,,,,,,historical-local,,experiments/n-mrc/output/mrc_sglb_feedback_transition_pilot_340/summary.csv,,present,delete-directory,621120
mrc_sglb_feedback_transition_pilot_380,experiments/n-mrc/output/mrc_sglb_feedback_transition_pilot_380,smoke-only,,,,,,historical-local,,experiments/n-mrc/output/mrc_sglb_feedback_transition_pilot_380/summary.csv,,present,delete-directory,619629
mrc_sglb_feedback_transition_pilot_v2_300,experiments/n-mrc/output/mrc_sglb_feedback_transition_pilot_v2_300,smoke-only,,,,,,historical-local,,experiments/n-mrc/output/mrc_sglb_feedback_transition_pilot_v2_300/summary.csv,,present,delete-directory,618452
mrc_sglb_feedback_transition_pilot_v2_340,experiments/n-mrc/output/mrc_sglb_feedback_transition_pilot_v2_340,smoke-only,,,,,,historical-local,,experiments/n-mrc/output/mrc_sglb_feedback_transition_pilot_v2_340/summary.csv,,present,delete-directory,639211
mrc_sglb_feedback_transition_pilot_v2_380,experiments/n-mrc/output/mrc_sglb_feedback_transition_pilot_v2_380,smoke-only,,,,,,historical-local,,experiments/n-mrc/output/mrc_sglb_feedback_transition_pilot_v2_380/summary.csv,,present,delete-directory,645062
mrc_sglb_feedback_transition_pilot_v3_360,experiments/n-mrc/output/mrc_sglb_feedback_transition_pilot_v3_360,smoke-only,,,,,,historical-local,,experiments/n-mrc/output/mrc_sglb_feedback_transition_pilot_v3_360/summary.csv,,present,delete-directory,631757
mrc_sglb_feedback_transition_pilot_v3_380,experiments/n-mrc/output/mrc_sglb_feedback_transition_pilot_v3_380,smoke-only,,,,,,historical-local,,experiments/n-mrc/output/mrc_sglb_feedback_transition_pilot_v3_380/summary.csv,,present,delete-directory,630884
mrc_sglb_feedback_transition_pilot_v3_390,experiments/n-mrc/output/mrc_sglb_feedback_transition_pilot_v3_390,smoke-only,,,,,,historical-local,,experiments/n-mrc/output/mrc_sglb_feedback_transition_pilot_v3_390/summary.csv,,present,delete-directory,631096
mrc_sglb_feedback_transition_pilot_v4_340,experiments/n-mrc/output/mrc_sglb_feedback_transition_pilot_v4_340,smoke-only,,,,,,historical-local,,experiments/n-mrc/output/mrc_sglb_feedback_transition_pilot_v4_340/summary.csv,,present,delete-directory,628486
mrc_sglb_feedback_transition_pilot_v4_360,experiments/n-mrc/output/mrc_sglb_feedback_transition_pilot_v4_360,smoke-only,,,,,,historical-local,,experiments/n-mrc/output/mrc_sglb_feedback_transition_pilot_v4_360/summary.csv,,present,delete-directory,639267
mrc_sglb_feedback_transition_pilot_v4_380,experiments/n-mrc/output/mrc_sglb_feedback_transition_pilot_v4_380,smoke-only,,,,,,historical-local,,experiments/n-mrc/output/mrc_sglb_feedback_transition_pilot_v4_380/summary.csv,,present,delete-directory,650969
mrc_sglb_feedback_transition_pilot_v5_380,experiments/n-mrc/output/mrc_sglb_feedback_transition_pilot_v5_380,smoke-only,,,,,,historical-local,,experiments/n-mrc/output/mrc_sglb_feedback_transition_pilot_v5_380/summary.csv,,present,delete-directory,623300
mrc_sglb_feedback_transition_pilot_v5_390,experiments/n-mrc/output/mrc_sglb_feedback_transition_pilot_v5_390,smoke-only,,,,,,historical-local,,experiments/n-mrc/output/mrc_sglb_feedback_transition_pilot_v5_390/summary.csv,,present,delete-directory,627217
mrc_sglb_feedback_transition_primer_pilot,experiments/n-mrc/output/mrc_sglb_feedback_transition_primer_pilot,smoke-only,,,,,,historical-local,,,,present,delete-directory,3888219
mrc_sglb_new_old_six_128_2seed,experiments/n-mrc/output/mrc_sglb_new_old_six_128_2seed,historical,128/64,mrc_new|mrc_old|sglb_new|sglb_old,13|29,,,historical-local,experiments/n-mrc/output/mrc_sglb_new_old_six_128_2seed/manifest.json,experiments/n-mrc/output/mrc_sglb_new_old_six_128_2seed/summary.csv,experiments/n-mrc/output/mrc_sglb_new_old_six_128_2seed/report.md,present,retain-historical-until-reviewed,117989000
mrc_sglb_pressure_transition_examples_5ms,experiments/n-mrc/output/mrc_sglb_pressure_transition_examples_5ms,historical,,,,,,historical-local,,,,present,retain-historical-until-reviewed,5514632
mrc_sglb_steady_mixed_256,experiments/n-mrc/output/mrc_sglb_steady_mixed_256,historical,256/64/64,mrc|rr|sglb,13|29|47,1.0,,historical-local,experiments/n-mrc/output/mrc_sglb_steady_mixed_256/manifest.json,experiments/n-mrc/output/mrc_sglb_steady_mixed_256/steady_summary.csv,experiments/n-mrc/output/mrc_sglb_steady_mixed_256/mrc_steady_mixed_limitations_256.md,complete,retain-historical-until-reviewed,37476303
mrc_sglb_steady_mixed_256_quick,experiments/n-mrc/output/mrc_sglb_steady_mixed_256_quick,smoke-only,256/64/64,mrc|rr|sglb,13,0.05,,historical-local,experiments/n-mrc/output/mrc_sglb_steady_mixed_256_quick/manifest.json,experiments/n-mrc/output/mrc_sglb_steady_mixed_256_quick/steady_summary.csv,experiments/n-mrc/output/mrc_sglb_steady_mixed_256_quick/mrc_steady_mixed_limitations_256.md,complete,delete-directory,890004
mrc_sglb_warmed_short_flow,experiments/n-mrc/output/mrc_sglb_warmed_short_flow,historical,,,,,,historical-local,,experiments/n-mrc/output/mrc_sglb_warmed_short_flow/summary.csv,,present,retain-historical-until-reviewed,8923989
mrc_shortflow_rootcause_20260725,experiments/n-mrc/output/mrc_shortflow_rootcause_20260725,historical,,,,,,historical-local,,,,present,retain-historical-until-reviewed,9582944
mrc_shortflow_rootcause_20260725_cwnd1,experiments/n-mrc/output/mrc_shortflow_rootcause_20260725_cwnd1,historical,,,,,,historical-local,,,,present,retain-historical-until-reviewed,9778851
mrc_vs_change_sglb_a2a_128_2seed,experiments/n-mrc/output/mrc_vs_change_sglb_a2a_128_2seed,historical,128/64,mrc_new|sglb_new,13|29,,,historical-local,experiments/n-mrc/output/mrc_vs_change_sglb_a2a_128_2seed/manifest.json,experiments/n-mrc/output/mrc_vs_change_sglb_a2a_128_2seed/results.csv,experiments/n-mrc/output/mrc_vs_change_sglb_a2a_128_2seed/report.md,present,retain-historical-until-reviewed,24092673
n-mrc-results,experiments/n-mrc/output/n-mrc-results,historical,128/8,ops|reps|mrc|sglb|n-mrc,13|29|47,,experiments/n-mrc/run_final_512_comparison.py,historical-local,experiments/n-mrc/output/n-mrc-results/manifest.json,experiments/n-mrc/output/n-mrc-results/summary.csv,experiments/n-mrc/output/n-mrc-results/report.md,present,compact-raw-retain-curated,5545502495
netaware_topk4_vs_weighted_a2a256_p16_seed13_20260723,experiments/n-mrc/output/netaware_topk4_vs_weighted_a2a256_p16_seed13_20260723,historical,,,,,,historical-local,,,,present,retain-historical-until-reviewed,617640
netaware_topk4_websearch80_micro_seed13_20260723,experiments/n-mrc/output/netaware_topk4_websearch80_micro_seed13_20260723,historical,,,,,,historical-local,,,,present,retain-historical-until-reviewed,514597210
nmrc4_heatmap_seed13_20260722,experiments/n-mrc/output/nmrc4_heatmap_seed13_20260722,historical,,,,,,historical-local,,,,present,retain-historical-until-reviewed,131892296
nmrc4_heatmap_three_seed_20260722,experiments/n-mrc/output/nmrc4_heatmap_three_seed_20260722,historical,,,,,,historical-local,,,,present,retain-historical-until-reviewed,174258244
nmrc_communication_alltoall_128_seed13,experiments/n-mrc/output/nmrc_communication_alltoall_128_seed13,historical,,,,,,historical-local,,,,present,retain-historical-until-reviewed,1183341717
nmrc_communication_p2p_128,experiments/n-mrc/output/nmrc_communication_p2p_128,historical,,,,,,historical-local,,,,present,retain-historical-until-reviewed,685875012
nmrc_communication_performance_preview_128_seed13,experiments/n-mrc/output/nmrc_communication_performance_preview_128_seed13,historical,,,,,,historical-local,,,,present,retain-historical-until-reviewed,23103517
