load_pct,flow_size,flow_size_kib,flow_count,quality_feedback_fraction,actionable_fraction,actionable_feedback_mean,fct_ratio_geomean,mrc_fct_mean_us,sglb_fct_mean_us,mrc_fct_p99_us,sglb_fct_p99_us
60,6144,6.0,1656,0.04045893719806763,0.0,0.0,1.0012162755619198,13.512955613526573,13.469250503623181,48.90600000000032,48.89413925000008
60,13312,13.0,549,0.0692167577413479,0.0,0.0,1.003335256998661,14.098207887067394,13.985792637522772,48.84400000000002,47.317805279999796
60,19456,19.0,1054,0.11669829222011385,0.0,0.0,1.0103682728859766,15.023943358633764,14.917770752371903,55.44180000000005,57.44727837000006
60,33792,33.0,1148,0.156794425087108,0.0,0.0,1.0201391129778477,15.809000548780475,15.587417608013938,57.61709999999977,60.35992748999963
60,54272,53.0,1450,0.15655172413793103,0.0,0.0,1.0134937876701349,16.930352337931062,16.821839733793087,59.24010000000001,61.611478439999544
60,136192,133.0,769,0.24967490247074123,0.0,0.0,1.0030985400683639,21.450121282184636,21.417915167750326,71.32200000000013,76.5380232799998
60,683008,667.0,1126,0.48401420959147423,0.41207815275310833,4.979573712255773,0.9948293026136674,52.06435236234467,52.58382971314392,159.4475,174.94815975000017
60,1364992,1333.0,1080,0.5537037037037037,0.5231481481481481,9.060185185185185,0.9989176195298737,97.65749008333322,98.29898728148142,279.6578000000004,287.23790506000034
60,3412992,3333.0,1099,0.7261146496815286,0.7142857142857143,20.015468607825294,0.9956103589197147,256.4662312374886,257.94316064058256,940.8116000000002,1003.1302388799998
60,6827008,6667.0,805,0.8298136645962733,0.8198757763975155,36.52173913043478,1.0070670136496624,557.3448912124218,552.0722819639748,2163.8857600000056,2112.9552458000016
60,20480000,20000.0,251,0.9641434262948207,0.9641434262948207,81.59760956175299,1.0046217510799247,1513.511911952192,1507.5606084023912,4091.9415,4002.6541964999997
60,30720000,30000.0,90,0.9777777777777777,0.9666666666666667,115.16666666666667,1.058969029736874,2043.4392499999994,1919.9400222333336,4724.5161,4260.8148073699995
80,6144,6.0,2177,0.08038585209003216,0.0,0.0,0.990260742174205,17.939097352779065,17.948191177767587,61.83119999999978,61.313587120000065
80,13312,13.0,707,0.1272984441301273,0.0,0.0,1.017961398804379,19.234116463932114,18.895923487977385,70.57939999999971,69.00076472
80,19456,19.0,1448,0.16022099447513813,0.0,0.0,1.0174111446970155,19.891697983425438,19.544835892265176,71.07990000000004,68.64346598
80,33792,33.0,1508,0.2473474801061008,0.0,0.0,1.0519064434915528,21.18379497347477,20.22273315251985,76.06580000000014,69.08253947000023
80,54272,53.0,1947,0.2840267077555213,0.0,0.0,1.0509133897909324,23.271286979969155,22.246347297894204,73.14259999999999,76.59062932000002
80,136192,133.0,1002,0.3842315369261477,0.0,0.0,1.0219770730663706,28.605885209580837,28.060796591816374,92.66690000000008,104.84612240000018
80,683008,667.0,1516,0.6279683377308707,0.5626649076517151,7.378627968337731,1.0035395368199242,68.5307737532981,68.42111717348283,234.59599999999995,237.98901969999986
80,1364992,1333.0,1430,0.7153846153846154,0.6839160839160839,13.221678321678322,0.9955610310078302,135.9376498041957,137.14805090839153,557.6920000000018,579.065164000001
80,3412992,3333.0,1500,0.8433333333333334,0.83,29.838666666666665,1.005342677405754,390.7504358466665,387.0550761253334,1851.2518999999986,1728.2288629799993
80,6827008,6667.0,1049,0.9237368922783603,0.9180171591992373,53.61582459485224,1.0116037203255048,910.5989524232594,896.1374151458524,3894.4513999999954,3890.214710399997
80,20480000,20000.0,333,0.990990990990991,0.990990990990991,109.91591591591592,1.0067495091953365,2356.5297189189178,2337.091921879879,5931.687200000003,6005.242237800004
80,30720000,30000.0,131,0.9694656488549618,0.9694656488549618,139.2290076335878,1.0310729000523262,3043.275629007635,2948.297255343511,6163.880199999998,6094.5800515
