load_pct,scheme,connections,valid,sim_sha256,traffic_sha256
60,mrc,11077,1,05b10989885b85e39b2734e10a7cadaeb4b6fc86a56537f69ae6abbdeae22cec,8fb58c5210b2368df990adac029f27dc7163c8139cec438bd2a650f487777845
60,sglb,11077,1,05b10989885b85e39b2734e10a7cadaeb4b6fc86a56537f69ae6abbdeae22cec,8fb58c5210b2368df990adac029f27dc7163c8139cec438bd2a650f487777845
80,mrc,14748,1,05b10989885b85e39b2734e10a7cadaeb4b6fc86a56537f69ae6abbdeae22cec,186371c0cea0e85664b4ac4f8c4df72e48e3ad3a9d6cb10ec37a4ecbac20f114
80,sglb,14748,1,05b10989885b85e39b2734e10a7cadaeb4b6fc86a56537f69ae6abbdeae22cec,186371c0cea0e85664b4ac4f8c4df72e48e3ad3a9d6cb10ec37a4ecbac20f114
