flow_size,flow_size_kib,flow_count,fct_ratio_geomean,seed_ratio_min,seed_ratio_max,improving_seeds,mrc_fct_p50_us,sglb_fct_p50_us,mrc_fct_p99_us,sglb_fct_p99_us,actionable_fraction,quality_feedback_fraction,effective_updates_mean,new_selections_after_update_mean,ev_coverage_mean,complete_sweep_fraction
6144,6.0,3000,1.8767878464166148,1.8493996696860968,1.9275440533736308,0,18.264359499999983,9.472478999999964,40.45269942999999,11.41018505999991,0.0,0.7423333333333333,1.3353333333333333,0.0,0.25,0.0
13312,13.0,3000,2.067602470011089,2.0339660700836752,2.102090531962927,0,22.1217465,10.231565500000016,42.44571837999986,11.723474980000017,0.0,0.844,2.6336666666666666,0.0,0.5,0.0
19456,19.0,3000,2.0630706861500387,2.021685088959625,2.1379821603547344,0,22.54499100000001,10.373520999999982,42.55666249,11.88521336000003,0.0,0.8493333333333334,3.1856666666666666,0.0,0.625,0.0
33792,33.0,3000,2.01650276872304,1.9977447424898462,2.025975688648899,0,23.8566395,10.868726999999978,41.88438031999996,12.641816020000018,0.0,0.868,4.02,0.0,1.0,1.0
54272,53.0,3000,2.0289584429860765,1.9855499164548063,2.091100491864019,0,27.005399499999967,11.460739499999988,46.17552707999994,13.376645240000029,0.0,0.877,4.31,0.0,1.0,1.0
136192,133.0,3000,2.1562966362292606,2.119154764727907,2.1832525289070452,0,34.112578499999984,13.292373999999995,55.97495907000003,16.00897134999998,0.0,0.902,7.312666666666667,0.0,1.0,1.0
