command_sha256,connections,returncode,runtime_s,scheme,seed,sim_sha256,traffic_sha256,valid
e81d5c78ef3af7c1d80bd0f82bed9abc32c13717219de2236ab2a2fa65a1fd93,6000,0,6.587675171000228,mrc,13,05b10989885b85e39b2734e10a7cadaeb4b6fc86a56537f69ae6abbdeae22cec,2b3862dc969c8ee1d6a3a481f3f15cd6b00136fb2a4570cc8ed7d61573ee1c38,1
0c8a25f055d55d00349f2fc5fbeb6afbb95a16561419892dfdba9f3af573d410,6000,0,9.033955869001147,sglb,13,05b10989885b85e39b2734e10a7cadaeb4b6fc86a56537f69ae6abbdeae22cec,2b3862dc969c8ee1d6a3a481f3f15cd6b00136fb2a4570cc8ed7d61573ee1c38,1
b657f24d709fd0747cbc50b7728655021a4d8115dbe5625fd425990c0ba59ab0,6000,0,7.023086344001058,mrc,29,05b10989885b85e39b2734e10a7cadaeb4b6fc86a56537f69ae6abbdeae22cec,4a09c508b61228d9c47414a1c6d26857c2b8b058645f8300ddcbccf332a999dc,1
c4c3ba499523ce461de570a56bb12c016fb554c07c56b9ec36b798cdaa761e01,6000,0,9.2973830610008,sglb,29,05b10989885b85e39b2734e10a7cadaeb4b6fc86a56537f69ae6abbdeae22cec,4a09c508b61228d9c47414a1c6d26857c2b8b058645f8300ddcbccf332a999dc,1
cbeedb8c9093b63f60aee0eecea85fc587773bfb8ecfd3c088c4799e7ad9e463,6000,0,6.617886092000845,mrc,47,05b10989885b85e39b2734e10a7cadaeb4b6fc86a56537f69ae6abbdeae22cec,c77d4d083f14e5693a9ac0a06371c08d8e090c63ef614e6b3ccb9392155edc01,1
41f319aecc140fb5898c733d0b8451f795d2f089da5415441e997fbd9bc463e8,6000,0,8.753679335000925,sglb,47,05b10989885b85e39b2734e10a7cadaeb4b6fc86a56537f69ae6abbdeae22cec,c77d4d083f14e5693a9ac0a06371c08d8e090c63ef614e6b3ccb9392155edc01,1
