scenario,old_mrc_geomean_us,new_mrc_no_rearm_geomean_us,new_vs_old_mrc_pct
healthy_alltoall_64mib_p4,2254.894504859701,2476.94557700523,9.847514891138776
healthy_alltoall_64mib_p8,1710.5250715701525,1725.5666495477155,0.8793544290909283
healthy_alltoall_64mib_p16,1734.9530240216973,1720.9332838234438,-0.8080760691580591
asymmetric_alltoall_background_64mib_p4,3037.560992731515,2623.2654543754747,-13.639085415812069
asymmetric_alltoall_background_64mib_p8,2027.677610856193,2031.434582365346,0.18528445986867315
asymmetric_alltoall_background_64mib_p16,2004.494352184249,1998.6154449320206,-0.29328629665742456
healthy_alltoall_256mib_p4,9081.084635251847,8900.774559159869,-1.9855566084257537
healthy_alltoall_256mib_p8,8424.365047020337,7927.532182780141,-5.897570457442658
healthy_alltoall_256mib_p16,6842.448396393257,7048.958610767029,3.018074852893693
asymmetric_alltoall_background_256mib_p4,11006.007582375449,11836.938544946654,7.549794567667045
asymmetric_alltoall_background_256mib_p8,9280.525561942115,9398.235206070167,1.2683510577327528
asymmetric_alltoall_background_256mib_p16,7845.713017055971,7923.142941311151,0.9869074243074261
healthy_alltoall_1024mib_p4,33583.37146726884,31620.391612007,-5.845094668875062
healthy_alltoall_1024mib_p8,28099.13775164412,27409.06960623945,-2.455833881821856
healthy_alltoall_1024mib_p16,24189.99710639432,24420.126880536143,0.951342710499925
asymmetric_alltoall_background_1024mib_p4,41637.893345738834,43492.18930471159,4.453385630189488
asymmetric_alltoall_background_1024mib_p8,33797.20386804135,34123.91153473024,0.9666706984533313
asymmetric_alltoall_background_1024mib_p16,29333.290803640604,29561.108545630002,0.776652519195431
