panel,metric,scheme,healthy_alltoall_64mib_p4,healthy_alltoall_64mib_p8,healthy_alltoall_64mib_p16,asymmetric_alltoall_background_64mib_p4,asymmetric_alltoall_background_64mib_p8,asymmetric_alltoall_background_64mib_p16,healthy_alltoall_256mib_p4,healthy_alltoall_256mib_p8,healthy_alltoall_256mib_p16,asymmetric_alltoall_background_256mib_p4,asymmetric_alltoall_background_256mib_p8,asymmetric_alltoall_background_256mib_p16,healthy_alltoall_1024mib_p4,healthy_alltoall_1024mib_p8,healthy_alltoall_1024mib_p16,asymmetric_alltoall_background_1024mib_p4,asymmetric_alltoall_background_1024mib_p8,asymmetric_alltoall_background_1024mib_p16
All-to-All,all_to_all_cct_us,ops,1.2845755372957552,1.1089545080458048,1.0534592241730094,1.0983376332391408,1.1697747289534184,1.1044892022266855,1.3465042362645556,1.1170900762678868,1.0916691857141747,1.1212861071375329,1.1353962142836762,1.1958644343921752,1.199290376543761,1.058650051298526,1.0287777112909573,1.3220265908151947,1.4234140029795292,1.4375195394884421
All-to-All,all_to_all_cct_us,reps,1.0526312938232587,1.0302008494963424,1.0501399488016938,1.0,1.047569104410585,1.020631056330544,1.206071029599154,1.0957616822144547,1.0954503491367427,1.0,1.0,1.033563034867281,1.1977267476882305,1.0558645389183654,1.0,1.0,1.0043070212403185,1.001610757770572
All-to-All,all_to_all_cct_us,mrc,1.0617823326842537,1.0,1.0,1.1032987528018947,1.01571320254143,1.0232941324216915,1.0,1.0,1.0,1.1225420191405273,1.0438228097480617,1.0381616110043868,1.0,1.0,1.0415777677996163,1.2189848346165457,1.126768287214512,1.1158752376275571
All-to-All,all_to_all_cct_us,sglb,1.0,1.0747249301081556,1.1171945122223796,1.0327203300825152,1.0,1.0,1.150041962636265,1.066150419847123,1.0621033096909431,1.031436375252238,1.0020873125851195,1.0,1.2955061917713004,1.0912093893311232,1.0666504040587321,1.1210085711340239,1.0,1.0
All-to-All,all_to_all_cct_us,n-mrc,0.9887087881015152,1.0680354420516902,1.0452078227086323,1.0787095624297276,1.059647827324019,1.0184934077597747,1.1867437103525764,1.089706699051523,0.9903475365483397,1.0674264109341078,1.0886434324415317,1.0078751294847557,1.1854220679172103,1.1003792225146494,1.1974283649105217,1.0596902254108531,1.0299359630822804,1.119570856669668
