scenario,variant,seed,profile,level_changes,paired_reversals,all_zero_profiles,all_zero_selections
asymmetric_permutation_16mib,netaware_goodcap,13,netaware,1811,815,0,0
asymmetric_permutation_16mib,netaware_goodcap,29,stor,0,0,0,0
asymmetric_permutation_16mib,netaware_goodcap,29,netaware,1632,755,0,0
asymmetric_permutation_16mib,netaware_goodcap,47,stor,0,0,0,0
asymmetric_permutation_16mib,netaware_goodcap,47,netaware,1765,797,0,0
asymmetric_permutation_16mib,netaware_sharp,13,stor,0,0,0,0
asymmetric_permutation_16mib,netaware_sharp,13,netaware,1472,629,0,0
asymmetric_permutation_16mib,netaware_sharp,29,stor,0,0,0,0
asymmetric_permutation_16mib,netaware_sharp,29,netaware,2108,874,0,0
asymmetric_permutation_16mib,netaware_sharp,47,stor,0,0,0,0
asymmetric_permutation_16mib,netaware_sharp,47,netaware,1573,573,0,0
asymmetric_permutation_16mib,nmrc_any_better,13,stor,0,0,0,0
asymmetric_permutation_16mib,nmrc_any_better,13,netaware,0,0,0,0
asymmetric_permutation_16mib,nmrc_any_better,29,stor,0,0,0,0
asymmetric_permutation_16mib,nmrc_any_better,29,netaware,0,0,0,0
asymmetric_permutation_16mib,nmrc_any_better,47,stor,0,0,0,0
asymmetric_permutation_16mib,nmrc_any_better,47,netaware,0,0,0,0
asymmetric_permutation_16mib,nmrc_better_ge3,13,stor,0,0,0,0
asymmetric_permutation_16mib,nmrc_better_ge3,13,netaware,0,0,0,0
asymmetric_permutation_16mib,nmrc_better_ge3,29,stor,0,0,0,0
asymmetric_permutation_16mib,nmrc_better_ge3,29,netaware,0,0,0,0
asymmetric_permutation_16mib,nmrc_better_ge3,47,stor,0,0,0,0
asymmetric_permutation_16mib,nmrc_better_ge3,47,netaware,0,0,0,0
full_global_p16_256mib_background_off,avail_ecn_only,13,stor,378508,189254,91,3135
full_global_p16_256mib_background_off,avail_ecn_only,13,netaware,0,0,0,0
full_global_p16_256mib_background_off,avail_ecn_only,29,stor,376012,188004,101,3385
full_global_p16_256mib_background_off,avail_ecn_only,29,netaware,0,0,0,0
full_global_p16_256mib_background_off,avail_ecn_only,47,stor,388686,194343,128,6606
full_global_p16_256mib_background_off,avail_ecn_only,47,netaware,0,0,0,0
full_global_p16_256mib_background_off,avail_hybrid,13,stor,408499,204249,490,16462
full_global_p16_256mib_background_off,avail_hybrid,13,netaware,0,0,0,0
full_global_p16_256mib_background_off,avail_hybrid,29,stor,412847,206422,378,11123
full_global_p16_256mib_background_off,avail_hybrid,29,netaware,0,0,0,0
full_global_p16_256mib_background_off,avail_hybrid,47,stor,411062,205531,700,29675
full_global_p16_256mib_background_off,avail_hybrid,47,netaware,0,0,0,0
full_global_p16_256mib_background_off,avail_packet,13,stor,512358,256179,1466,65137
full_global_p16_256mib_background_off,avail_packet,13,netaware,0,0,0,0
full_global_p16_256mib_background_off,avail_packet,29,stor,474457,237223,1090,47916
full_global_p16_256mib_background_off,avail_packet,29,netaware,0,0,0,0
full_global_p16_256mib_background_off,avail_packet,47,stor,511899,255948,1353,65115
full_global_p16_256mib_background_off,avail_packet,47,netaware,0,0,0,0
full_global_p16_256mib_background_off,avail_time,13,stor,512358,256179,1466,65137
full_global_p16_256mib_background_off,avail_time,13,netaware,0,0,0,0
full_global_p16_256mib_background_off,avail_time,29,stor,474457,237223,1090,47916
full_global_p16_256mib_background_off,avail_time,29,netaware,0,0,0,0
full_global_p16_256mib_background_off,avail_time,47,stor,511899,255948,1353,65115
full_global_p16_256mib_background_off,avail_time,47,netaware,0,0,0,0
full_global_p16_256mib_background_off,grade_conservative,13,stor,388437,147540,215,5568
full_global_p16_256mib_background_off,grade_conservative,13,netaware,0,0,0,0
full_global_p16_256mib_background_off,grade_conservative,29,stor,351335,133754,226,10414
full_global_p16_256mib_background_off,grade_conservative,29,netaware,0,0,0,0
full_global_p16_256mib_background_off,grade_conservative,47,stor,340395,127584,270,7401
full_global_p16_256mib_background_off,grade_conservative,47,netaware,0,0,0,0
full_global_p16_256mib_background_off,grade_default,13,stor,461971,137403,5709,172556
full_global_p16_256mib_background_off,grade_default,13,netaware,0,0,0,0
full_global_p16_256mib_background_off,grade_default,29,stor,464076,137389,5950,177658
full_global_p16_256mib_background_off,grade_default,29,netaware,0,0,0,0
full_global_p16_256mib_background_off,grade_default,47,stor,462282,137161,5797,173504
full_global_p16_256mib_background_off,grade_default,47,netaware,0,0,0,0
full_global_p16_256mib_background_off,grade_equal,13,stor,448391,150062,4928,163218
full_global_p16_256mib_background_off,grade_equal,13,netaware,0,0,0,0
full_global_p16_256mib_background_off,grade_equal,29,stor,438210,144928,5034,162913
full_global_p16_256mib_background_off,grade_equal,29,netaware,0,0,0,0
full_global_p16_256mib_background_off,grade_equal,47,stor,453124,150754,5109,170387
full_global_p16_256mib_background_off,grade_equal,47,netaware,0,0,0,0
full_global_p16_256mib_background_off,grade_gentle,13,stor,452877,140826,5315,161909
full_global_p16_256mib_background_off,grade_gentle,13,netaware,0,0,0,0
full_global_p16_256mib_background_off,grade_gentle,29,stor,459305,143507,5544,168869
full_global_p16_256mib_background_off,grade_gentle,29,netaware,0,0,0,0
full_global_p16_256mib_background_off,grade_gentle,47,stor,460233,142764,5523,172969
full_global_p16_256mib_background_off,grade_gentle,47,netaware,0,0,0,0
full_global_p16_256mib_background_off,grade_sensitive,13,stor,424536,129601,183,4269
full_global_p16_256mib_background_off,grade_sensitive,13,netaware,0,0,0,0
full_global_p16_256mib_background_off,grade_sensitive,29,stor,406054,125819,174,3874
full_global_p16_256mib_background_off,grade_sensitive,29,netaware,0,0,0,0
